id x y theta
9 46.38 463.85 -2.079
10 558.79 549.13 3.001
11 47.53 493.43 -1.822
12 192.04 518.95 -2.092
13 166.47 636.53 1.203
14 553.90 665.98 -0.304
15 162.04 658.97 0.567
16
1 665.28 125.56 0.696
2 606.73 120.76 -2.611
3 231.26 351.83 1.737
4 741.76 241.67 -0.865
5 757.07 280.64 -1.592
6 500.96 386.72 1.047
7 776.65 359.18 1.692
8 37.57 425.54 -2.035
9 47.60 460.44 -1.888
10 552.97 550.14 3.036
11 46.45 489.93 -1.820
12 187.66 512.35 -2.122
13 166.52 636.69 1.197
14 557.66 664.09 -0.305
15 164.17 661.46 0.542
17
1 669.79 130.43 0.750
2 599.27 117.45 -2.590
3 231.00 360.67 1.731
4 741.48 239.44 -0.952
5 755.65 277.75 -1.681
6 505.22 391.45 1.007
7 776.43 361.71 1.760
8 37.64 424.48 -2.062
9 47.78 457.84 -1.810
10 545.85 549.84 2.992
11 45.12 487.80 -1.860
12 183.81 506.09 -2.295
13 166.61 636.71 1.206
14 563.13 662.70 -0.322
15 167.28 665.32 0.513
18
1 673.95 134.26 0.799
2 590.87 111.87 -2.580
3 231.97 368.47 1.654
4 740.87 237.95 -1.019
5 754.42 275.98 -1.718
6 509.04 397.59 0.896
7 775.10 368.54 1.848
8 37.82 424.51 -2.103
9 47.62 455.47 -1.747
10 541.26 549.25 3.052
11 44.45 485.21 -1.814
12 179.35 499.20 -2.179
13 166.45 636.69 1.227
14 566.18 661.89 -0.317
15 172.53 668.65 0.419
19
1 678.13 138.80 0.736
2 582.66 106.49 -2.575
3 231.45 375.84 1.622
4 740.50 235.12 -1.239
5 754.08 274.21 -1.725
6 512.27 402.31 0.894
7 773.89 373.34 1.797
8 38.22 424.73 -2.124
9 48.16 453.40 -1.639
10 534.80 549.85 3.132
11 43.78 478.66 -1.798
12 175.14 493.38 -2.048
13 166.09 636.62 1.245
14 568.94 660.29 -0.362
15 179.41 672.02 0.392
20
1 682.29 142.89 0.784
2 573.90 101.80 -2.622
3 231.03 382.54 1.647
4 739.30 231.30 -1.277
5 752.81 271.28 -1.815
6 516.75 406.20 0.888
7 771.49 380.03 1.868
8 38.20 424.53 -2.133
9 50.08 451.40 -1.621
10 529.69 549.68 -3.131
11 42.02 476.74 -1.769
12 172.01 486.52 -2.214
13 165.68 637.18 1.293
14 571.61 658.41 -0.421
15 187.09 675.32 0.418
21
1 686.53 148.12 0.755
2 564.53 96.11 -2.622
3 231.18 391.46 1.548
4 736.68 226.92 -1.448
5 750.68 267.67 -1.896
6 520.54 411.40 0.859
7 767.83 387.94 1.936
8 37.81 424.15 -2.173
9 51.15 450.47 -1.638
10 524.28 549.02 3.073
11 41.82 475.20 -1.770
12 169.60 480.85 -2.190
13 165.64 637.32 1.316
14 576.75 654.30 -0.512
15 194.40 678.37 0.439
22
1 689.25 152.92 0.757
