id x y theta
6 213.62 93.88 2.377
7 72.44 547.42 -1.995
8 71.76 518.69 -1.309
9 57.54 521.22 -1.993
10 145.98 121.89 2.395
11 98.23 198.93 -1.776
12 367.40 638.58 -3.011
13 168.04 637.62 1.495
14 201.09 412.04 1.318
15 132.84 604.21 1.319
368
1 76.80 247.21 -1.541
2 208.36 625.72 0.427
3 161.52 419.39 1.393
4 464.26 14.30 3.031
5 539.50 723.84 -0.452
6 210.55 99.30 2.212
7 72.13 547.74 -2.016
8 71.84 518.38 -1.408
9 56.98 518.37 -1.979
10 146.02 122.68 2.342
11 99.00 192.92 -1.709
12 364.28 637.60 -2.890
13 168.18 637.91 1.481
14 202.08 417.00 1.452
15 135.26 612.96 1.315
369
1 77.30 243.63 -1.541
2 208.33 625.91 0.461
3 162.83 427.44 1.388
4 464.17 14.33 2.986
5 544.79 720.52 -0.414
6 207.50 103.44 2.218
7 72.09 547.38 -2.003
8 72.99 517.39 -1.631
9 56.32 516.05 -1.940
10 146.03 124.20 2.276
11 99.91 187.80 -1.645
12 359.67 635.07 -2.842
13 168.16 637.99 1.477
14 202.75 420.63 1.540
15 136.48 621.16 1.262
370
1 77.24 238.72 -1.459
2 208.21 625.81 0.464
3 165.70 437.88 1.301
4 464.34 14.46 3.072
5 549.92 716.26 -0.428
6 204.25 107.21 2.231
7 71.89 546.40 -1.962
8 73.26 516.97 -1.762
9 53.58 510.20 -1.998
10 146.06 125.22 2.231
11 102.31 181.15 -1.537
12 355.11 631.65 -2.810
13 168.25 638.02 1.453
14 202.07 426.40 1.584
15 138.71 627.62 1.300
371
1 77.26 235.80 -1.415
2 208.49 625.83 0.487
3 167.47 446.46 1.293
4 464.54 13.88 2.965
5 556.03 714.47 -0.554
6 200.39 111.76 2.196
7 70.27 543.69 -1.994
8 73.82 515.79 -1.930
9 52.49 507.69 -1.929
10 147.35 125.92 2.143
11 103.63 179.08 -1.398
12 349.23 628.98 -2.709
13 168.29 638.04 1.443
14 201.08 429.42 1.544
15 141.32 633.63 1.278
372
1 77.77 233.08 -1.418
2 208.95 626.04 0.530
3 169.78 452.94 1.270
4 464.47 13.78 2.891
5 562.92 709.41 -0.585
6 197.72 114.92 2.239
7 68.67 539.43 -2.156
8 74.25 515.34 -2.032
9 51.60 504.40 -1.842
10 148.30 128.57 2.038
11 104.97 175.74 -1.323
12 342.83 627.48 -2.669
13 168.31 638.21 1.443
14 201.44 432.15 1.562
15 143.25 639.34 1.189
373
1 79.19 228.45 -1.359
2 209.17 626.10 0.536
3 172.52 462.11 1.208
4 464.30 14.24 3.015
5 568.61 703.73 -0.579
6 193.40 119.67 2.332
7 66.16 535.16 -2.143
8 74.50 514.86 -2.081
9 50.35 500.00 -1.849
10 146.68 128.68 2.041
11 106.17 170.83 -1.336
12 339.08 625.43 -2.748
13 168.24 638.00 1.425
14 201.86 436.98 1.622
15 145.56 643.62 1.106
374
1 80.70 224.23 -1.215
2 209.53 625.98 0.556
3 175.53 469.53 1.187
4 464.68 14.44 3.058
5 575.38 700.44 -0.623
6 189.34 124.25 2.381
7 62.41 532.10 -2.143
8 74.99 514.54 -2.138
9 48.51 497.03 -1.825
10 145.89 129.35 2.058
11 108.15 166.90 -1.299
12 332.62 620.33 -2.637
13 168.31 638.12 1.415
14 202.03 438.83 1.715
15 150.15 648.95 0.960
375
1 82.19 220.75 -1.179
2 209.73 626.06 0.576
3 179.56 477.72 1.125
4 464.71 14.44 3.109
5 582.32 694.99 -0.534
6 185.46 128.14 2.402
7 61.45 529.89 -2.055
8 75.12 514.34 -2.231
9 47.07 493.63 -1.800
10 145.64 130.33 2.065
11 110.11 163.87 -1.242
12 327.49 617.69 -2.647
13 168.37 638.05 1.398
14 201.43 441.15 1.884
15 153.50 653.43 0.819
376
1 84.71 216.16 -1.176
2 209.66 625.95 0.585
3 183.37 486.28 1.151
4 464.81 14.17 3.003
5 590.25 688.73 -0.645
6 181.61 131.30 2.468
7 60.56 527.43 -2.091
8 75.08 513.71 -2.250
9 46.61 491.62 -1.802
10 144.84 131.28 2.064
11 112.72 160.61 -1.142
12 322.45 615.07 -2.766
13 168.40 638.09 1.397
14 200.20 443.43 1.920
15 157.69 657.03 0.817
377
1 88.16 211.07 -1.072
2 209.74 625.95 0.583
3 187.27 493.72 1.140
4 465.14 14.05 2.960
5 596.84 683.71 -0.715
6 178.61 133.98 2.536
7 56.91 523.91 -2.046
8 74.96 512.48 -2.261
9 46.39 489.85 -1.779
10 143.05 133.16 2.115
11 115.27 157.46 -1.112
12 318.44 612.33 -2.728
13 168.38 638.17 1.403
14 198.81 445.37 1.877
15 159.18 660.87 0.719
378
1 90.85 207.35 -0.993
2 209.96 625.68 0.522
3 191.04 501.43 1.005
4 465.34 14.29 3.012
5 602.38 678.03 -0.596
6 174.30 137.12 2.517
7 56.72 522.72 -2.046
8 74.89 510.47 -2.293
9 46.76 486.42 -1.817
10 142.33 134.07 2.193
11 116.24 156.54 -1.117
12 312.63 609.31 -2.607
13 168.32 638.18 1.410
14 197.64 446.23 1.896
15 160.19 662.13 0.654
379
1 94.33 204.02 -0.957
2 210.10 625.67 0.503
3 195.90 508.71 1.028
4 465.88 14.04 2.991
5 610.24 673.00 -0.651
6 170.76 138.84 2.562
7 57.22 520.39 -2.019
8 74.60 509.02 -2.330
9 45.64 480.14 -1.851
10 142.25 134.36 2.217
11 116.21 155.96 -1.141
12 307.11 606.79 -2.572
13 168.40 638.16 1.416
14 196.00 446.90 1.909
15 163.42 665.21 0.534
380
1 98.04 200.74 -0.850
2 210.21 625.29 0.499
3 200.69 514.95 0.986
4 465.73 14.46 3.111
5 616.88 668.03 -0.589
6 168.13 140.85 2.553
7 55.31 513.67 -1.664
8 74.25 508.27 -2.367
9 44.79 472.68 -1.823
10 142.22 134.38 2.217
11 116.17 154.80 -1.143
12 303.09 604.09 -2.612
13 168.48 638.29 1.426
14 194.97 447.96 1.879
15 168.18 668.43 0.515
381
1 101.26 198.54 -0.721
2 210.70 624.44 0.418
3 204.48 521.70 0.968
4 465.79 14.93 -3.120
5 622.67 663.03 -0.532
6 167.71 142.56 2.628
7 58.32 513.44 -1.659
8 74.11 507.80 -2.405
9 44.52 464.72 -1.831
10 142.37 134.38 2.235
11 116.70 153.29 -1.125
12 299.27 598.99 -2.505
13 168.48 638.22 1.426
14 195.38 449.07 1.897
15 173.41 672.64 0.488
382
1 105.35 197.14 -0.616
2 210.49 623.87 0.303
3 208.53 527.41 0.990
4 465.31 14.95 3.138
5 630.28 658.38 -0.649
6 167.03 143.86 2.643
7 57.43 513.76 -1.657
8 74.45 507.65 -2.411
9 43.33 456.45 -1.812
10 142.32 134.46 2.247
11 116.72 152.03 -1.114
12 294.87 595.44 -2.381
13 168.45 637.92 1.406
14 195.04 450.32 1.856
15 179.40 675.78 0.488
383
1 111.06 196.58 -0.454
2 210.49 624.12 0.282
3 213.46 534.34 0.931
4 465.85 14.91 3.133
5 637.87 651.96 -0.586
6 166.11 144.60 2.671
7 56.59 512.69 -1.645
8 74.35 507.54 -2.425
9 42.18 449.42 -1.794
10 142.25 134.55 2.279
11 117.13 149.86 -1.073
12 290.80 591.48 -2.369
13 168.44 637.86 1.408
14 194.23 452.86 1.807
15 185.07 678.59 0.462
384
1 115.72 195.49 -0.345
2 210.26 624.13 0.303
3 217.93 541.72 0.926
4 465.57 15.34 -3.074
5 644.48 646.56 -0.648
6 165.10 144.72 2.725
7 56.30 512.10 -1.661
8 74.26 507.48 -2.434
9 40.93 441.86 -1.934
10 141.98 134.85 2.304
11 118.10 148.65 -1.017
12 288.75 587.99 -2.357
13 168.63 637.92 1.430
14 193.75 455.62 1.734
15 192.89 682.24 0.403
385
1 121.02 194.96 -0.381
2 210.13 624.27 0.326
3 222.18 547.61 0.928
4 465.53 15.06 -3.125
5 651.91 640.75 -0.665
6 163.33 144.96 2.730
7 56.07 510.85 -1.645
8 74.12 507.15 -2.428
9 40.95 437.04 -1.932
10 142.02 134.80 2.316
11 119.47 146.72 -0.997
12 284.91 580.69 -2.176
13 168.66 637.86 1.436
14 193.43 458.02 1.638
15 200.67 684.88 0.454
386
1 127.48 193.46 -0.305
2 209.99 624.31 0.341
3 227.24 553.35 0.838
4 465.78 14.70 3.127
5 658.96 635.27 -0.652
6 162.32 145.36 2.725
7 55.79 509.87 -1.639
8 74.58 507.11 -2.404
9 40.00 429.50 -1.886
10 142.20 134.58 2.325
11 121.78 143.74 -1.050
12 281.39 575.09 -2.207
13 168.68 637.89 1.435
14 193.14 459.79 1.561
15 208.23 688.25 0.417
387
1 133.95 192.10 -0.288
2 209.80 624.21 0.324
3 231.30 558.92 0.795
4 465.51 15.20 -3.099
5 665.73 630.58 -0.783
6 161.95 145.81 2.766
7 55.14 508.81 -1.679
8 74.96 506.53 -2.389
9 39.23 421.85 -1.866
10 142.14 134.61 2.333
11 123.50 141.60 -1.069
12 278.88 570.84 -2.261
13 168.71 637.88 1.433
14 193.28 463.05 1.519
15 215.71 691.14 0.376
388
1 139.89 192.15 -0.287
2 209.65 624.20 0.297
3 234.31 562.15 0.809
4 465.83 14.92 -3.141
5 671.91 624.40 -0.710
6 160.66 145.99 2.854
7 54.90 507.51 -1.693
8 75.51 506.29 -2.344
9 38.24 414.33 -1.817
10 142.13 134.59 2.348
11 125.00 140.11 -1.054
12 275.98 564.22 -2.155
13 168.65 637.79 1.431
14 194.10 466.31 1.474
15 224.55 693.56 0.338
389
1 146.36 190.75 -0.240
2 209.56 623.99 0.266
3 240.30 567.61 0.729
4 465.87 14.80 3.105
5 678.05 617.24 -0.721
6 160.12 146.09 2.908
7 54.86 504.98 -1.694
8 75.68 505.05 -2.297
9 38.79 406.06 -1.814
10 142.12 134.86 2.375
11 125.65 137.74 -1.015
12 273.06 559.08 -2.061
13 168.62 637.77 1.434
14 195.71 469.22 1.432
15 232.06 697.34 0.326
390
1 152.03 190.35 -0.252
2 208.57 623.32 0.191
3 245.12 573.53 0.729
4 465.44 14.75 3.082
5 684.77 611.93 -0.795
6 160.03 146.18 2.928
7 54.59 503.49 -1.700
8 76.39 504.37 -2.248
9 38.76 394.80 -1.678
10 142.20 134.91 2.396
11 125.86 136.08 -0.909
12 270.02 552.38 -2.099
13 168.63 637.80 1.434
14 196.70 473.15 1.416
15 239.69 699.58 0.387
391
1 158.39 189.47 -0.306
2 208.40 622.57 0.115
3 249.82 577.59 0.710
4 465.28 15.02 3.098
5 691.16 605.51 -0.669
6 159.66 146.33 2.960
7 53.54 499.97 -1.650
8 76.82 503.87 -2.223
9 38.96 384.18 -1.727
10 142.28 135.04 2.394
11 126.51 135.50 -0.911
12 268.67 546.54 -2.108
13 168.60 637.90 1.441
14 197.04 475.39 1.309
15 247.21 702.59 0.357
392
1 165.05 187.77 -0.248
2 208.50 622.40 0.051
3 255.96 582.80 0.608
4 464.85 15.19 3.141
5 697.82 599.81 -0.711
6 159.58 147.09 2.949
7 52.51 493.29 -1.639
8 76.99 502.39 -2.143
9 37.61 374.33 -1.784
10 142.27 135.32 2.421
11 127.11 134.66 -0.907
12 267.02 540.27 -1.959
13 168.60 637.91 1.441
14 197.33 476.73 1.258
15 254.85 706.19 0.429
393
1 170.95 186.56 -0.384
2 208.96 622.49 0.035
3 261.97 588.27 0.559
4 464.12 14.75 2.987
5 703.25 596.50 -0.800
6 158.94 148.30 2.947
7 53.62 485.35 -1.551
8 76.56 499.90 -2.062
9 38.63 365.26 -1.642
10 142.49 135.26 2.437
11 128.24 133.06 -0.824
12 264.19 534.08 -1.965
13 168.63 637.89 1.433
14 198.15 477.94 1.201
15 262.85 709.80 0.421
394
1 175.49 184.37 -0.505
2 209.29 622.62 0.015
3 269.16 593.21 0.510
4 463.12 14.55 2.951
5 705.25 592.87 -0.808
6 157.39 149.29 2.936
7 53.55 478.80 -1.494
8 77.04 498.48 -2.050
9 40.33 355.79 -1.645
10 142.36 135.52 2.462
11 129.70 132.19 -0.763
12 262.41 526.76 -2.061
13 168.59 637.98 1.426
14 199.56 479.62 1.101
15 268.33 713.06 0.409
395
1 179.42 181.18 -0.549
2 209.65 622.70 -0.027
3 278.37 597.45 0.483
4 462.68 14.38 3.039
5 708.12 587.36 -0.780
6 156.43 150.52 2.893
7 53.50 472.28 -1.499
8 77.02 495.86 -1.951
9 40.76 344.84 -1.657
10 142.54 135.33 2.485
11 133.42 130.71 -0.624
12 261.11 520.33 -2.005
13 168.61 637.87 1.420
14 200.90 480.32 1.053
15 272.93 715.70 0.461
396
1 183.79 177.70 -0.667
2 209.89 622.84 -0.052
3 287.62 601.24 0.519
4 462.07 14.46 -2.977
5 711.66 580.94 -0.866
6 155.82 151.35 2.840
7 54.89 466.13 -1.461
8 76.99 493.05 -1.820
9 41.82 336.63 -1.657
10 142.65 135.39 2.491
11 133.73 129.22 -0.620
12 257.92 516.04 -1.895
13 168.63 637.82 1.421
14 203.24 481.45 0.950
15 277.00 717.32 0.499
397
1 188.28 173.37 -0.741
2 210.54 622.79 -0.088
3 296.88 606.09 0.435
4 461.93 14.09 3.115
5 716.12 575.61 -0.907
6 155.52 151.89 2.764
7 55.68 459.77 -1.387
8 77.58 490.55 -1.738
9 43.07 325.49 -1.607
10 142.99 135.76 2.494
11 133.92 127.14 -0.628
12 254.35 508.80 -2.060
13 168.56 637.82 1.421
14 205.66 483.60 0.797
15 282.80 720.87 0.538
398
1 191.03 170.17 -0.751
2 210.53 622.99 -0.085
3 305.78 610.97 0.447
4 462.34 14.12 3.099
5 719.99 568.24 -0.899
6 154.16 152.48 2.719
7 56.57 451.92 -1.453
8 78.06 486.07 -1.744
9 47.76 316.06 -1.432
10 143.00 136.84 2.506
11 134.59 125.30 -0.658
12 252.54 503.40 -2.071
13 168.55 637.91 1.425
14 207.33 485.01 0.702
15 288.93 725.02 0.622
399
1 194.84 166.08 -0.861
2 210.76 622.81 -0.127
3 314.77 614.49 0.385
4 462.42 14.20 3.076
5 723.47 559.03 -1.037
6 153.55 153.67 2.660
7 58.24 445.09 -1.448
8 78.90 481.00 -1.695
9 51.75 304.78 -1.288
10 143.27 137.64 2.536
11 137.05 122.82 -0.640
12 250.43 498.47 -1.988
13 168.56 637.84 1.424
14 207.90 485.60 0.635
15 296.33 729.26 0.587
400
1 197.38 161.64 -0.916
2 211.06 622.76 -0.154
3 324.39 618.05 0.333
4 462.54 14.12 3.045
5 727.04 552.11 -1.075
6 153.86 154.87 2.617
7 59.40 438.26 -1.373
8 78.96 476.31 -1.687
9 58.52 291.93 -1.111
10 142.86 137.94 2.537
11 139.56 123.06 -0.589
12 249.75 498.08 -2.013
13 168.46 637.88 1.425
14 208.09 485.85 0.605
15 302.68 732.97 0.563
401
1 199.25 157.08 -1.014
2 211.28 622.64 -0.184
3 332.24 621.26 0.319
4 462.72 14.37 3.000
5 728.96 545.31 -1.033
6 153.75 155.49 2.666
7 62.63 429.23 -1.303
8 79.66 471.63 -1.703
9 66.39 280.59 -1.058
10 142.42 138.12 2.559
11 145.02 121.01 -0.802
12 249.56 497.74 -2.029
13 168.46 637.89 1.425
14 208.33 485.93 0.568
15 309.08 735.87 0.553
402
1 202.59 151.93 -1.050
2 211.14 622.13 -0.208
3 341.60 623.91 0.210
4 462.56 14.50 3.093
5 733.08 536.89 -1.105
6 153.46 155.67 2.665
7 67.02 421.34 -1.160
8 80.49 466.45 -1.714
9 76.39 268.87 -0.888
10 141.44 138.82 2.569
11 146.50 118.80 -0.716
12 249.38 497.58 -2.066
13 168.49 637.89 1.423
14 208.88 485.83 0.507
15 315.33 739.77 0.502
403
1 204.90 147.59 -1.054
2 211.23 621.89 -0.213
3 349.08 625.40 0.290
4 462.74 14.28 3.033
5 736.52 531.09 -1.005
6 151.65 156.66 2.593
7 72.78 412.72 -1.197
8 80.29 460.26 -1.676
9 84.27 259.98 -0.967
10 140.22 140.12 2.627
11 147.50 116.45 -0.657
12 249.31 497.39 -2.094
13 168.36 637.87 1.427
14 209.51 485.82 0.464
15 321.18 742.89 0.489
404
1 206.25 144.06 -1.146
2 211.28 621.62 -0.238
3 353.52 627.39 0.338
4 462.88 14.20 3.046
5 739.59 524.13 -0.998
6 149.68 158.36 2.550
7 78.35 402.43 -1.175
8 79.49 453.92 -1.769
9 93.25 250.09 -0.899
10 138.87 141.47 2.668
11 146.95 115.04 -0.571
12 249.28 497.33 -2.111
13 168.35 637.94 1.431
14 209.79 485.63 0.428
15 328.27 744.05 0.369
405
1 208.90 138.40 -1.276
2 211.71 621.57 -0.248
3 363.67 630.22 0.274
4 463.35 14.42 -3.128
5 742.40 515.38 -1.117
6 147.37 159.93 2.489
7 82.57 392.97 -1.147
8 78.40 449.09 -1.835
9 100.09 239.61 -0.992
10 137.25 142.58 2.727
11 148.26 113.90 -0.527
12 248.99 497.06 -2.145
13 168.33 637.93 1.432
14 210.06 485.61 0.409
15 335.55 746.59 0.284
406
1 210.43 132.60 -1.233
2 212.26 621.49 -0.226
3 373.04 633.11 0.276
4 463.00 14.36 3.085
5 745.34 506.77 -1.148
6 145.56 161.28 2.541
7 86.85 384.53 -1.171
8 76.70 443.49 -1.905
9 105.80 227.12 -1.079
10 135.98 143.69 2.836
11 149.41 113.61 -0.515
12 248.65 496.85 -2.172
13 168.35 637.88 1.431
14 210.74 485.82 0.364
15 343.20 747.98 0.290
407
1 210.87 129.09 -1.205
2 212.13 621.84 -0.182
3 381.64 634.62 0.244
4 463.24 14.21 3.014
5 746.78 497.32 -1.231
6 144.40 162.72 2.566
7 90.34 376.13 -1.163
8 75.15 438.11 -1.967
9 109.05 216.34 -1.118
10 134.45 144.52 2.913
11 151.09 113.78 -0.556
12 248.26 496.63 -2.230
13 168.34 637.93 1.432
14 210.69 485.90 0.352
15 350.93 748.79 0.175
408
1 212.38 124.67 -1.287
2 211.77 622.26 -0.144
3 389.73 637.47 0.225
4 463.52 14.04 3.037
5 749.45 488.67 -1.290
6 142.65 164.89 2.580
7 92.74 368.08 -1.316
8 72.01 432.92 -2.037
9 114.53 205.05 -1.200
10 133.42 145.18 2.958
11 152.20 112.35 -0.487
12 246.76 495.33 -2.364
13 168.33 638.00 1.436
14 211.01 485.68 0.335
15 358.70 748.91 0.131
409
1 213.61 120.60 -1.333
2 211.50 622.74 -0.078
3 399.37 638.73 0.317
4 463.27 14.03 2.964
5 751.01 480.32 -1.221
6 140.37 167.64 2.609
7 93.75 360.49 -1.431
8 68.64 427.92 -2.133
9 117.71 195.34 -1.199
10 132.81 145.45 2.943
11 155.60 111.59 -0.429
12 245.23 494.20 -2.481
13 168.34 638.03 1.437
14 211.67 485.98 0.374
15 367.69 748.09 0.074
410
1 214.88 115.31 -1.327
2 211.80 622.88 -0.054
3 407.94 640.78 0.212
4 463.72 14.09 2.974
5 753.10 471.36 -1.304
6 138.84 168.19 2.628
7 92.50 351.44 -1.501
8 64.74 422.65 -2.213
9 117.54 190.44 -1.269
10 131.81 145.66 2.961
11 158.67 109.41 -0.485
12 244.78 493.81 -2.527
13 168.28 637.98 1.455
14 212.16 486.03 0.374
15 376.94 747.43 -0.015
411
1 215.21 112.62 -1.279
2 211.82 623.21 -0.006
3 413.42 642.39 0.197
4 464.78 13.95 2.967
5 754.92 462.89 -1.360
6 138.42 167.19 2.614
7 92.65 340.65 -1.535
8 59.88 417.06 -2.295
9 115.79 192.09 -1.323
10 130.95 145.65 2.963
11 161.65 107.11 -0.589
12 244.67 493.70 -2.536
13 168.24 637.86 1.464
14 211.96 485.92 0.360
15 385.82 745.27 -0.049
412
1 215.59 109.79 -1.376
2 211.95 623.67 -0.000
3 421.29 644.05 0.193
4 465.16 14.27 3.052
5 754.70 454.22 -1.302
6 138.41 167.43 2.618
7 92.68 331.06 -1.500
8 55.62 411.48 -2.314
9 114.09 192.66 -1.447
10 130.81 145.93 2.944
11 165.63 104.58 -0.579
12 244.57 494.11 -2.603
13 168.24 637.84 1.468
14 211.87 486.02 0.330
15 394.79 743.54 -0.114
413
1 215.80 105.96 -1.465
2 212.79 623.99 0.016
3 429.76 644.65 0.035
4 464.63 14.78 -3.130
5 756.14 445.71 -1.503
6 138.54 167.25 2.629
7 93.53 324.16 -1.472
8 51.17 406.37 -2.328
9 113.63 190.85 -1.515
10 129.76 146.09 2.980
11 170.71 102.82 -0.562
12 244.35 494.10 -2.624
13 168.19 638.03 1.481
14 211.92 485.99 0.301
15 401.28 742.20 -0.156
414
1 215.30 102.17 -1.491
2 214.47 624.40 0.036
3 435.38 643.45 -0.055
4 463.95 14.53 3.098
5 756.20 436.79 -1.540
6 138.67 167.43 2.650
7 95.32 316.30 -1.345
8 45.89 400.63 -2.339
9 113.42 186.61 -1.544
10 129.50 146.07 2.987
11 176.84 99.35 -0.525
12 244.10 493.97 -2.638
13 168.16 638.10 1.487
14 211.77 485.98 0.283
15 408.37 739.42 -0.223
415
1 214.64 98.03 -1.561
2 215.92 624.32 0.008
3 442.70 642.37 -0.131
4 463.76 14.38 -3.129
5 755.15 428.54 -1.561
6 139.85 167.89 2.650
7 97.41 306.54 -1.386
8 40.80 395.98 -2.344
9 111.99 183.00 -1.613
10 129.44 146.18 2.963
11 183.49 95.06 -0.529
12 244.12 493.94 -2.646
13 168.12 638.03 1.490
14 211.58 485.96 0.289
15 416.23 737.66 -0.273
416
1 214.40 94.58 -1.681
2 220.06 624.86 -0.046
3 449.28 640.95 -0.212
4 463.35 14.11 3.068
5 755.21 418.86 -1.682
6 139.88 167.84 2.650
7 99.98 295.75 -1.332
8 38.92 393.37 -2.315
9 108.70 179.91 -1.606
10 129.25 146.37 2.941
11 187.98 92.23 -0.567
12 243.90 493.86 -2.662
13 168.08 637.97 1.493
14 211.60 485.83 0.298
15 423.17 734.32 -0.295
417
1 214.36 93.41 -1.723
2 224.39 625.47 -0.126
3 455.29 638.49 -0.211
4 463.19 14.01 3.049
5 754.01 410.54 -1.603
6 139.88 167.78 2.652
7 102.43 285.76 -1.334
8 37.62 390.94 -2.257
9 107.55 178.20 -1.613
10 129.45 146.51 2.933
11 189.21 91.43 -0.663
12 242.96 493.79 -2.740
13 168.02 637.97 1.501
14 211.88 485.81 0.314
15 432.33 730.62 -0.363
418
1 214.61 93.71 -1.723
2 228.98 625.08 -0.181
3 460.92 636.91 -0.182
4 463.60 14.22 3.092
5 752.22 401.11 -1.721
6 139.96 168.17 2.645
7 106.50 275.58 -1.247
8 37.72 388.17 -2.172
9 106.84 176.34 -1.579
10 129.53 146.29 2.943
11 189.49 91.07 -0.654
12 242.06 493.71 -2.734
13 167.99 637.94 1.512
14 212.05 485.91 0.319
15 439.96 726.55 -0.394
419
1 215.88 94.00 -1.581
2 231.26 624.97 -0.224
3 466.07 634.30 -0.279
4 463.56 14.29 3.101
5 751.51 392.42 -1.676
6 140.02 168.41 2.650
7 110.75 265.48 -1.233
8 37.45 385.01 -2.181
9 106.89 175.21 -1.501
10 129.46 146.31 2.930
11 190.31 90.51 -0.629
12 241.16 493.62 -2.729
13 167.87 637.91 1.530
14 212.21 486.02 0.325
15 447.13 723.76 -0.368
420
1 216.93 92.88 -1.435
2 234.57 624.07 -0.371
3 472.14 631.83 -0.423
4 463.68 14.16 3.031
5 750.44 384.30 -1.669
6 140.58 168.98 2.617
7 114.82 254.76 -1.250
8 36.96 383.85 -2.139
9 106.96 173.96 -1.436
10 129.28 146.36 2.909
11 192.22 88.33 -0.632
12 240.27 493.53 -2.723
13 167.87 637.94 1.543
14 212.38 486.13 0.330
15 454.32 719.88 -0.325
421
1 217.49 93.24 -1.302
2 231.36 624.46 -0.336
3 479.44 628.62 -0.361
4 464.06 14.16 3.007
5 749.28 375.62 -1.812
6 141.05 170.46 2.494
7 119.37 243.87 -1.201
8 37.55 382.74 -2.077
9 106.33 173.29 -1.464
10 129.05 146.49 2.874
11 195.78 83.74 -0.744
12 239.37 493.44 -2.718
13 167.82 637.97 1.552
14 212.55 486.24 0.335
15 461.39 715.53 -0.369
422
1 218.15 93.45 -1.220
2 229.90 625.08 -0.283
3 487.66 623.36 -0.478
4 465.17 14.39 3.098
5 747.29 368.59 -1.782
6 141.22 172.33 2.387
7 123.68 235.22 -1.227
8 38.20 381.04 -1.994
9 106.22 170.56 -1.334
10 129.08 146.37 2.863
11 199.19 80.52 -0.839
12 239.38 493.75 -2.715
13 167.72 637.95 1.564
14 212.72 486.35 0.341
15 469.53 712.04 -0.417
423
1 219.44 93.71 -1.149
2 230.72 625.77 -0.257
3 495.53 618.53 -0.542
4 464.94 14.55 3.141
5 745.71 358.94 -1.790
6 141.03 174.09 2.293
7 129.12 226.29 -1.102
8 38.44 378.38 -1.915
9 105.85 169.31 -1.286
10 128.77 146.51 2.847
11 201.94 77.72 -0.816
12 239.39 494.05 -2.711
13 167.70 637.99 1.568
14 212.89 486.46 0.346
15 476.84 707.76 -0.444
424
1 222.43 93.75 -0.985
2 229.29 625.80 -0.266
3 502.16 614.01 -0.489
4 464.80 14.48 3.085
5 745.60 350.25 -1.667
6 140.21 177.38 2.204
7 136.07 218.15 -1.129
8 39.39 374.96 -1.792
9 106.41 166.02 -1.230
10 128.65 146.57 2.862
11 204.00 75.16 -0.790
12 239.40 494.36 -2.708
13 167.64 637.84 1.579
14 213.05 486.56 0.351
15 485.63 703.45 -0.493
425
1 224.97 92.86 -0.796
2 229.06 625.68 -0.283
3 509.79 609.54 -0.654
4 465.22 14.44 3.121
5 745.58 341.27 -1.520
6 138.57 178.59 2.150
7 142.31 213.27 -1.022
8 39.42 373.35 -1.751
9 107.10 163.11 -1.227
10 128.51 146.59 2.865
11 206.02 71.79 -0.775
12 239.41 494.66 -2.705
13 167.62 637.73 1.584
14 213.22 486.67 0.357
15 494.56 697.75 -0.459
426
1 227.06 92.69 -0.536
2 229.18 625.79 -0.323
3 516.67 604.97 -0.620
4 465.57 14.50 3.141
5 746.21 330.98 -1.619
6 137.97 178.57 2.154
7 145.80 212.40 -1.028
8 38.95 371.07 -1.751
9 106.98 161.52 -1.281
10 128.09 146.80 2.839
11 209.61 69.94 -0.676
12 239.42 494.97 -2.701
13 167.60 637.76 1.589
14 213.39 486.78 0.362
15 502.09 692.97 -0.442
427
1 229.91 93.55 -0.303
2 229.36 625.94 -0.358
3 522.57 599.98 -0.602
4 465.37 14.46 3.107
5 744.72 321.95 -1.568
6 137.65 178.20 2.180
7 148.19 209.89 -1.040
8 39.12 367.66 -1.730
9 106.70 160.98 -1.189
10 128.06 146.80 2.836
11 213.63 68.80 -0.660
12 239.43 495.27 -2.698
13 167.63 637.61 1.599
14 213.56 486.89 0.367
15 510.47 688.63 -0.490
428
1 235.03 95.67 -0.166
2 229.23 626.63 -0.382
3 530.73 594.64 -0.678
4 465.22 14.60 3.119
5 743.64 314.13 -1.493
6 136.49 179.00 2.184
7 152.98 206.72 -0.959
8 40.21 364.20 -1.699
9 106.69 160.80 -1.119
10 128.21 146.91 2.815
11 218.15 66.33 -0.567
12 239.44 495.57 -2.694
13 167.59 637.62 1.606
14 213.73 487.00 0.373
15 518.48 683.00 -0.523
429
1 239.47 96.80 -0.061
2 229.16 626.83 -0.400
3 536.57 589.34 -0.697
4 465.79 14.51 3.085
5 745.15 305.57 -1.612
6 134.93 181.16 2.192
7 160.42 202.07 -0.879
8 40.49 359.97 -1.712
9 107.42 160.17 -1.101
10 127.64 147.27 2.796
11 223.18 62.71 -0.559
12 239.45 495.88 -2.691
13 167.66 637.38 1.616
14 213.89 487.11 0.378
15 526.12 677.50 -0.569
430
1 243.83 97.74 -0.021
2 229.32 626.76 -0.408
3 540.91 584.36 -0.776
4 465.96 14.22 3.025
5 744.49 295.72 -1.518
6 133.66 182.78 2.230
7 165.63 196.55 -0.861
8 40.66 356.93 -1.685
9 107.86 160.07 -1.110
10 127.43 147.45 2.796
11 228.11 60.32 -0.642
12 239.46 496.18 -2.688
13 167.50 637.61 1.638
