X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	X6	Y6	ProbId6	
260.42	589.54	0.78764	180.72	680.26	1	241.93	647.36	0.64563	276.14	430.1	0.77384	173.54	436.98	0.70811	151.04	370.02	0.93532
260.83	589.91	0.78764	191.94	699.85	1	243.87	645.68	0.64563	261.08	412.67	0.77384	174.14	437.12	0.70811	150.68	368.18	0.93532
262.09	590.04	0.78764	208.86	728.55	1	244.92	648.43	0.64563	247.81	402.12	0.77384	174.81	435.5	0.70811	148.2	367.39	0.93532
262.2	591.17	0.78764	229.09	752.82	1	246.86	646.36	0.64563	234.76	401.71	0.77384	174.5	432.95	0.70811	149.6	370.79	0.93532
261.56	591.69	0.78764	253.97	776.02	1	247.76	645.96	0.64563	234.63	400.19	0.77384	173.88	433.74	0.70811	147.74	372.26	0.93532
261.52	591.29	0.78764	288.3	799.61	1	247.15	645.78	0.64563	233.02	396.89	0.55785	173.94	430.82	0.42825	147.54	369.15	0.93532
261.22	591.37	0.78764	334.59	821.85	1	251.95	644.47	0.64563	232.03	394.19	0.55785	174.07	431.56	0.42825	146.88	368.24	0.93532
262.03	592.46	0.78764	375.36	839.54	1	250.62	645.35	0.64563	231.66	392.69	0.55785	174.12	431.96	0.42825	171.76	365.93	0.93532
261.24	591.35	0.78764	402.15	849.85	1	252.03	646.22	0.64563	231.82	392.8	0.55785	173.47	429.42	0.42825	172.3	360.47	0.93532
262.53	590.27	0.78764	414.31	859.94	1	256.05	646.42	0.64563	235.88	395.67	-1	172.73	426.48	-1	176.65	363.55	-1
263.51	587.13	0.78764	424.01	865.45	1	256.42	651.26	0.64563	235.5	394.89	-1	173.33	429.04	0.31877	172.43	363.3	-1
264.5	587.18	0.78764	428.84	868.36	1	257.21	652.51	0.64563	233.68	393.38	-1	172.66	425.74	-1	169.66	360.82	-1
263.94	585.99	0.78764	429.69	865.39	1	260.65	655.67	0.64563	230.52	390.89	-1	172.5	426.2	-1	170.91	361.56	0.49594
263.59	585.04	0.78764	434.94	868.11	1	265.17	658.66	0.64563	225.32	385.08	0.50777	173.07	425.82	0.35507	172.79	361.78	0.49594
262.04	583.05	0.78764	443.16	869.43	1	270.44	661.77	0.64563	225.55	384.06	0.50777	172.86	426.96	0.35507	170.37	360.47	0.49594
262.82	584.03	0.78764	471.83	868.23	1	278.63	664.15	0.64563	225.77	382.49	0.50777	172.52	426.93	0.35507	172.33	359.68	0.49594
262.54	584.31	0.78764	510.37	870.61	1	286.98	665.28	0.64563	225.46	378.28	0.50777	171.6	424.3	-1	172.22	358.95	-1
263.97	587.22	0.78764	548.72	863.39	1	298.07	671.42	0.64563	228.46	379.67	-1	170.86	421.99	-1	173.2	356.76	-1
264.87	589.2	0.78764	585.4	848.9	1	311.62	674.65	0.64563	228.07	376.46	-1	171.53	420.23	-1	172.42	353.92	-1
265.03	590.77	0.78764	600.8	827.9	1	321.32	678.41	0.64563	220.99	367.58	-1	170.59	417.18	-1	173.12	354.35	-1
265.21	589.97	0.78764	599.79	814.25	1	330.55	682.83	0.64563	220.36	362.92	-1	171.11	415.63	-1	172.13	353.15	-1
265.27	590.26	0.78764	603.25	795.35	1	344.52	682.2	0.64563	220.76	362.12	-1	171.25	414.18	-1	173.14	355.04	-1
263.54	589.66	0.78764	595.64	785.71	1	355.78	679.24	0.64563	230.61	368.09	-1	171.12	412.49	-1	183.3	351.46	-1
263.82	590.38	0.78764	586.71	775.23	1	369.06	668.08	0.64563	231.15	367.58	NaN	171.2	412.59	-2	182.9	352.18	-2
261.99	591.28	0.78764	580.09	774.16	1	378.43	657.18	0.64563	231.39	366.73	NaN	171.28	412.69	-2	177	355	-2
261.71	590.12	0.78764	581.2	776.43	1	386.99	640.99	0.64563	231.02	366.78	-2	171.36	412.79	-2	176.64	355.7	-2
262.06	593.09	0.78764	580.14	778.9	1	394.8	632.47	0.64563	217.64	358.29	NaN	171.43	412.88	-2	176	357	-2
261.75	592.74	0.78764	580.31	780.51	1	395.41	632.45	0.64563	217.38	357.99	NaN	171.5	412.97	-2	175.65	357.7	-2
261.17	589.31	0.78764	580.15	778.85	1	390.58	644.7	0.64563	217.01	357.68	-1	172.6	416.72	-1	167.45	364.9	-1
263.47	596.27	0.78764	582.21	777.28	1	397.2	655.57	0.64563	217	357.61	NaN	172.66	416.78	-2	167.15	365.55	-2
263.13	596.73	0.78764	581.42	776.6	1	410.59	664.94	0.64563	216.12	357.64	NaN	172.72	416.84	-2	166.85	366.2	-2
264.1	597.06	0.78764	581.78	776.02	1	416.28	670.78	0.64563	216.37	357.37	-1	169.9	414.71	-1	164.49	366.13	-1
263.46	595.96	0.78764	585.2	779.46	1	424.44	675.84	0.64563	215.81	356.6	-1	170.31	415.84	-1	168.77	364.56	-1
263.69	595.36	0.78764	586.52	778.82	1	427.7	677.1	0.64563	215.6	356.66	-2	170.39	415.91	-2	168.45	365.24	-2
265.97	596.19	0.78764	588.24	779.66	1	431.02	679.01	0.64563	215.26	356.83	-2	170.4	416	-2	168.1	365.94	-2
268.25	597.81	0.78764	584.16	772.52	1	434.58	680.49	0.64563	214.92	357	-2	170.41	416.08	-2	167.75	366.64	-2
268.98	599.57	0.78764	582.45	766.35	1	432.25	680.14	0.64563	214.58	357.18	-2	170.42	416.16	-2	167.4	367.3	-2
271.21	602.89	0.78764	581.24	767.78	1	434.9	680.08	0.64563	214.24	357.35	-2	170.43	416.24	-2	167.04	367.93	-2
