frame,id,x,y,width,height,confidence
20,4,155.76352530541013,366.6951716114019,-1,-1,-1
20,5,261.98276207656846,590.2808177991582,-1,-1,-1
20,6,281.1302116741501,453.7158434894163,-1,-1,-1
21,1,-1.0,-1.0,-1,-1,-1
21,2,-1.0,-1.0,-1,-1,-1
21,3,168.86051647978252,435.59327217125383,-1,-1,-1
21,4,151.33009708737865,372.9429243895263,-1,-1,-1
21,5,262.2867718683031,589.4956165984804,-1,-1,-1
21,6,280.3735210118319,445.01937984496124,-1,-1,-1
22,1,237.5254314259764,643.8383287920072,-1,-1,-1
22,2,174.56870810481414,665.4066118220596,-1,-1,-1
22,3,171.3174767321613,434.6773526370217,-1,-1,-1
22,4,153.71162079510702,366.2440366972477,-1,-1,-1
22,5,261.7838761560112,589.732006433454,-1,-1,-1
22,6,278.99418483904464,437.0330218068536,-1,-1,-1
23,1,-1.0,-1.0,-1,-1,-1
23,2,180.84316501494413,684.2523202768601,-1,-1,-1
23,3,171.93199725933536,433.43233984241175,-1,-1,-1
23,4,149.56663439819295,368.51790900290416,-1,-1,-1
23,5,-1.0,-1.0,-1,-1,-1
23,6,275.0190648203893,430.00060204695967,-1,-1,-1
24,1,-1.0,-1.0,-1,-1,-1
24,2,192.9872495446266,703.5600264944527,-1,-1,-1
24,3,172.85261225171087,432.66599899849774,-1,-1,-1
24,4,148.976530288614,367.3923247700602,-1,-1,-1
24,5,-1.0,-1.0,-1,-1,-1
24,6,261.04583577140625,413.4893700019504,-1,-1,-1
25,1,263.63663663663664,591.8273273273273,-1,-1,-1
25,2,210.36988235294118,732.3251764705882,-1,-1,-1
25,3,173.12193537911998,431.31011527845425,-1,-1,-1
25,4,146.79379379379378,366.6242909576242,-1,-1,-1
25,5,244.02743902439025,641.9478803716609,-1,-1,-1
25,6,248.65064102564102,403.2232277526395,-1,-1,-1
26,1,263.95581071677105,593.9993041057759,-1,-1,-1
26,2,230.5249228770904,756.3310602370514,-1,-1,-1
26,3,-1.0,-1.0,-1,-1,-1
26,4,148.14149821640905,369.96076099881094,-1,-1,-1
26,5,245.79427893878758,643.1654068474878,-1,-1,-1
26,6,-1.0,-1.0,-1,-1,-1
27,1,264.1551171809138,594.2674085314449,-1,-1,-1
27,2,256.1505791505792,778.559202059202,-1,-1,-1
27,3,172.70575947478363,427.22829006266784,-1,-1,-1
27,4,146.23215014279884,371.4908200734394,-1,-1,-1
27,5,246.9263018534863,642.975433951162,-1,-1,-1
27,6,236.2283591731266,401.05523255813955,-1,-1,-1
28,1,262.82825535001814,592.1206021037359,-1,-1,-1
28,2,290.3458195037142,800.9546388493757,-1,-1,-1
28,3,172.3793214343142,428.21193117864607,-1,-1,-1
28,4,146.13200498132005,368.79286010792856,-1,-1,-1
28,5,246.11120866256948,642.1248170910155,-1,-1,-1
28,6,234.13485888634628,398.57360793287563,-1,-1,-1
29,1,262.2620727075421,591.6075239645505,-1,-1,-1
29,2,338.7835365853659,824.0913182346109,-1,-1,-1
29,3,172.3880146240661,427.4784612939119,-1,-1,-1
29,4,145.7364341085271,366.562219502244,-1,-1,-1
29,5,251.89953869810353,642.540406629079,-1,-1,-1
29,6,235.23257766582702,397.01544920235096,-1,-1,-1
30,1,-1.0,-1.0,-1,-1,-1
30,2,378.80177953534354,840.3506343713956,-1,-1,-1
30,3,172.14074074074074,426.33456790123455,-1,-1,-1
30,4,170.9678714859438,364.3343373493976,-1,-1,-1
30,5,-1.0,-1.0,-1,-1,-1
30,6,233.77280265339965,394.67230514096184,-1,-1,-1
31,1,-1.0,-1.0,-1,-1,-1
31,2,407.01833180568286,851.0673693858845,-1,-1,-1
31,3,-1.0,-1.0,-1,-1,-1
31,4,171.08507549361207,359.260162601626,-1,-1,-1
31,5,-1.0,-1.0,-1,-1,-1
31,6,-1.0,-1.0,-1,-1,-1
32,1,-1.0,-1.0,-1,-1,-1
32,2,418.22525979216624,863.051798561151,-1,-1,-1
32,3,171.79315346678268,425.20162460110237,-1,-1,-1
32,4,-1.0,-1.0,-1,-1,-1
32,5,-1.0,-1.0,-1,-1,-1
32,6,-1.0,-1.0,-1,-1,-1
33,1,-1.0,-1.0,-1,-1,-1
33,2,426.99983053719706,868.9920352482629,-1,-1,-1
33,3,171.89255079006773,425.03461249059444,-1,-1,-1
33,4,-1.0,-1.0,-1,-1,-1
33,5,-1.0,-1.0,-1,-1,-1
33,6,-1.0,-1.0,-1,-1,-1
34,1,-1.0,-1.0,-1,-1,-1
34,2,432.4662940379404,871.2889566395663,-1,-1,-1
34,3,-1.0,-1.0,-1,-1,-1
34,4,168.75722222222223,359.43777777777774,-1,-1,-1
34,5,-1.0,-1.0,-1,-1,-1
34,6,-1.0,-1.0,-1,-1,-1
35,1,265.2472443937666,586.8175598631699,-1,-1,-1
35,2,434.4425058158857,868.1045197740112,-1,-1,-1
35,3,-1.0,-1.0,-1,-1,-1
35,4,169.50585823081428,359.78236672524895,-1,-1,-1
35,5,261.27463503649636,651.1779197080292,-1,-1,-1
35,6,-1.0,-1.0,-1,-1,-1
36,1,265.1478463329453,586.1313542879317,-1,-1,-1
36,2,440.3602977667494,869.8658395368072,-1,-1,-1
36,3,-1.0,-1.0,-1,-1,-1
36,4,171.46437768240344,360.0194563662374,-1,-1,-1
36,5,266.0689814814815,655.8228395061728,-1,-1,-1
36,6,-1.0,-1.0,-1,-1,-1
37,1,265.226353928299,586.3331426392067,-1,-1,-1
37,2,448.5214664737096,870.2191670686606,-1,-1,-1
37,3,172.13577456298975,423.2623568414707,-1,-1,-1
37,4,168.52966101694915,359.7994350282486,-1,-1,-1
37,5,272.10515593167213,659.4384892650054,-1,-1,-1
37,6,225.7411616161616,385.7239057239057,-1,-1,-1
38,1,265.6022897897898,586.9084084084084,-1,-1,-1
38,2,475.1463745967057,868.230939038886,-1,-1,-1
38,3,-1.0,-1.0,-1,-1,-1
38,4,-1.0,-1.0,-1,-1,-1
38,5,281.03480701754387,660.853052631579,-1,-1,-1
38,6,-1.0,-1.0,-1,-1,-1
39,1,266.0925925925926,588.2324899156581,-1,-1,-1
39,2,513.8156524860887,869.9436366900018,-1,-1,-1
39,3,-1.0,-1.0,-1,-1,-1
39,4,-1.0,-1.0,-1,-1,-1
39,5,288.4765027322404,663.5136612021857,-1,-1,-1
39,6,226.21455420237555,381.1541121635844,-1,-1,-1
40,1,266.5691324200913,589.3689497716895,-1,-1,-1
40,2,553.1808617234469,861.5988643954576,-1,-1,-1
40,3,-1.0,-1.0,-1,-1,-1
40,4,-1.0,-1.0,-1,-1,-1
40,5,300.00956480153036,670.0165789893192,-1,-1,-1
40,6,-1.0,-1.0,-1,-1,-1
41,1,266.2228959941198,590.3985667034178,-1,-1,-1
41,2,589.430017452007,845.5239092495636,-1,-1,-1
41,3,-1.0,-1.0,-1,-1,-1
41,4,-1.0,-1.0,-1,-1,-1
41,5,312.67505874454514,673.4254783484391,-1,-1,-1
41,6,-1.0,-1.0,-1,-1,-1
42,1,266.20549714074895,592.1068068622026,-1,-1,-1
42,2,603.1835097850496,822.933429579724,-1,-1,-1
42,3,-1.0,-1.0,-1,-1,-1
42,4,-1.0,-1.0,-1,-1,-1
42,5,323.29304407713494,677.0631887052341,-1,-1,-1
42,6,-1.0,-1.0,-1,-1,-1
43,1,267.6086492258409,593.056059797117,-1,-1,-1
43,2,600.3477743798844,809.0864763846414,-1,-1,-1
43,3,-1.0,-1.0,-1,-1,-1
43,4,-1.0,-1.0,-1,-1,-1
43,5,332.27349543024656,682.2227970339713,-1,-1,-1
43,6,-1.0,-1.0,-1,-1,-1
44,1,268.10777777777776,593.4885185185185,-1,-1,-1
44,2,602.6582360570687,792.1152723735408,-1,-1,-1
44,3,-1.0,-1.0,-1,-1,-1
44,4,-1.0,-1.0,-1,-1,-1
44,5,346.23909985935296,680.8660337552743,-1,-1,-1
44,6,-1.0,-1.0,-1,-1,-1
45,1,265.789071680376,593.8754406580493,-1,-1,-1
45,2,594.4063765182186,780.4181848852901,-1,-1,-1
45,3,-1.0,-1.0,-1,-1,-1
45,4,-1.0,-1.0,-1,-1,-1
45,5,357.8676885130373,677.2029598308668,-1,-1,-1
45,6,-1.0,-1.0,-1,-1,-1
46,1,265.75549132947975,594.3157996146435,-1,-1,-1
46,2,585.7868763557484,771.3774403470716,-1,-1,-1
46,3,-1.0,-1.0,-1,-1,-1
46,4,-1.0,-1.0,-1,-1,-1
46,5,369.2804788213628,665.8587476979742,-1,-1,-1
46,6,-1.0,-1.0,-1,-1,-1
47,1,264.88955823293173,595.704636728733,-1,-1,-1
47,2,579.0428118393235,771.049859055673,-1,-1,-1
47,3,-1.0,-1.0,-1,-1,-1
47,4,-1.0,-1.0,-1,-1,-1
47,5,379.2126403959642,654.2726061298305,-1,-1,-1
47,6,-1.0,-1.0,-1,-1,-1
48,1,265.46319663512094,595.9232386961094,-1,-1,-1
48,2,580.1129816685371,773.9913954358398,-1,-1,-1
48,3,-1.0,-1.0,-1,-1,-1
48,4,-1.0,-1.0,-1,-1,-1
48,5,386.8184645286686,638.8631681243926,-1,-1,-1
48,6,-1.0,-1.0,-1,-1,-1
49,1,265.0384818133896,597.2623440520118,-1,-1,-1
49,2,578.6044987601841,775.2385759829968,-1,-1,-1
49,3,-1.0,-1.0,-1,-1,-1
49,4,-1.0,-1.0,-1,-1,-1
49,5,396.6255549121791,628.9617834394904,-1,-1,-1
49,6,-1.0,-1.0,-1,-1,-1
50,1,265.7547004041469,597.5967316816025,-1,-1,-1
50,2,578.6041898405635,776.3442714126808,-1,-1,-1
50,3,-1.0,-1.0,-1,-1,-1
50,4,-1.0,-1.0,-1,-1,-1
50,5,397.0721205597417,629.326695371367,-1,-1,-1
50,6,-1.0,-1.0,-1,-1,-1
51,1,265.6381735159817,596.553607305936,-1,-1,-1
51,2,578.4929707732149,775.1622271550129,-1,-1,-1
51,3,-1.0,-1.0,-1,-1,-1
51,4,-1.0,-1.0,-1,-1,-1
51,5,392.0843304843305,643.0151946818613,-1,-1,-1
51,6,-1.0,-1.0,-1,-1,-1
52,1,266.2145756131992,596.8789482971589,-1,-1,-1
52,2,580.2298599745408,772.2329514457174,-1,-1,-1
52,3,-1.0,-1.0,-1,-1,-1
52,4,-1.0,-1.0,-1,-1,-1
52,5,400.1454222222222,655.6304,-1,-1,-1
52,6,-1.0,-1.0,-1,-1,-1
53,1,265.4737039116601,596.9923264083848,-1,-1,-1
53,2,580.1914548404543,771.7200288444203,-1,-1,-1
53,3,-1.0,-1.0,-1,-1,-1
53,4,-1.0,-1.0,-1,-1,-1
53,5,412.4185834246075,666.1292442497262,-1,-1,-1
53,6,-1.0,-1.0,-1,-1,-1
54,1,265.2763896959132,595.9395700174317,-1,-1,-1
54,2,580.3540748898679,771.6954845814978,-1,-1,-1
54,3,-1.0,-1.0,-1,-1,-1
54,4,-1.0,-1.0,-1,-1,-1
54,5,418.65401540154016,672.2075540887422,-1,-1,-1
54,6,-1.0,-1.0,-1,-1,-1
55,1,265.354415274463,595.3001193317423,-1,-1,-1
55,2,584.1893167232918,776.0122687806719,-1,-1,-1
55,3,-1.0,-1.0,-1,-1,-1
55,4,-1.0,-1.0,-1,-1,-1
55,5,427.14990243037073,676.4814617704452,-1,-1,-1
55,6,-1.0,-1.0,-1,-1,-1
56,1,265.6730962427165,594.8527225236086,-1,-1,-1
56,2,585.5501844302077,775.8056688021743,-1,-1,-1
56,3,-1.0,-1.0,-1,-1,-1
56,4,-1.0,-1.0,-1,-1,-1
56,5,429.9761437908496,677.7919934640522,-1,-1,-1
56,6,-1.0,-1.0,-1,-1,-1
57,1,266.64910130718954,595.7585784313726,-1,-1,-1
57,2,587.5342440801456,776.9167577413479,-1,-1,-1
57,3,-1.0,-1.0,-1,-1,-1
57,4,-1.0,-1.0,-1,-1,-1
57,5,433.4850030921459,679.7487631416202,-1,-1,-1
57,6,-1.0,-1.0,-1,-1,-1
58,1,268.99979822437444,597.1202582728006,-1,-1,-1
58,2,582.7960173160172,769.2543722943722,-1,-1,-1
58,3,-1.0,-1.0,-1,-1,-1
58,4,-1.0,-1.0,-1,-1,-1
58,5,434.918501529052,680.458868501529,-1,-1,-1
58,6,-1.0,-1.0,-1,-1,-1
59,1,269.4180411321523,599.2862960700468,-1,-1,-1
59,2,581.0077362933064,763.646316851665,-1,-1,-1
59,3,-1.0,-1.0,-1,-1,-1
59,4,-1.0,-1.0,-1,-1,-1
59,5,433.43367346938777,680.1307977736549,-1,-1,-1
59,6,-1.0,-1.0,-1,-1,-1
60,1,271.8831594024964,602.7423777368529,-1,-1,-1
60,2,579.9085969958453,760.7348993288591,-1,-1,-1
60,3,-1.0,-1.0,-1,-1,-1
60,4,-1.0,-1.0,-1,-1,-1
60,5,436.515365448505,680.5352990033223,-1,-1,-1
60,6,-1.0,-1.0,-1,-1,-1
61,1,273.35970209339774,604.7407407407408,-1,-1,-1
61,2,579.273659438561,761.8951084215835,-1,-1,-1
61,3,-1.0,-1.0,-1,-1,-1
61,4,-1.0,-1.0,-1,-1,-1
61,5,434.5104309425917,679.5035784985533,-1,-1,-1
61,6,-1.0,-1.0,-1,-1,-1
62,1,275.2604227263913,605.2908667830134,-1,-1,-1
62,2,578.1297049847406,760.0908782638181,-1,-1,-1
62,3,-1.0,-1.0,-1,-1,-1
62,4,-1.0,-1.0,-1,-1,-1
62,5,435.27071418096494,680.2531162927115,-1,-1,-1
62,6,-1.0,-1.0,-1,-1,-1
63,1,277.2891312667432,606.7412935323383,-1,-1,-1
63,2,575.9253507014027,756.6977287909151,-1,-1,-1
63,3,-1.0,-1.0,-1,-1,-1
63,4,-1.0,-1.0,-1,-1,-1
63,5,433.95612431444243,679.5968921389397,-1,-1,-1
63,6,-1.0,-1.0,-1,-1,-1
64,1,277.84677738236456,610.5330170027679,-1,-1,-1
64,2,575.2639762403912,754.5473445143256,-1,-1,-1
64,3,-1.0,-1.0,-1,-1,-1
64,4,-1.0,-1.0,-1,-1,-1
64,5,434.48063105279596,679.6310527960012,-1,-1,-1
64,6,-1.0,-1.0,-1,-1,-1
65,1,279.5832861724203,612.1463874740614,-1,-1,-1
65,2,574.9298618490967,755.5008855827133,-1,-1,-1
65,3,-1.0,-1.0,-1,-1,-1
65,4,-1.0,-1.0,-1,-1,-1
65,5,434.58278249921307,679.6598992760465,-1,-1,-1
65,6,-1.0,-1.0,-1,-1,-1
66,1,281.732782369146,616.3419651056014,-1,-1,-1
66,2,574.37783933518,755.8179132040627,-1,-1,-1
66,3,-1.0,-1.0,-1,-1,-1
66,4,-1.0,-1.0,-1,-1,-1
66,5,435.36960514233243,679.6778389960208,-1,-1,-1
66,6,-1.0,-1.0,-1,-1,-1
67,1,283.20814814814815,621.3762962962962,-1,-1,-1
67,2,573.1402947966614,755.9035695258391,-1,-1,-1
67,3,-1.0,-1.0,-1,-1,-1
67,4,-1.0,-1.0,-1,-1,-1
67,5,435.63572303921563,679.5078125,-1,-1,-1
67,6,-1.0,-1.0,-1,-1,-1
68,1,284.4226353198469,627.4623655913978,-1,-1,-1
68,2,573.8556870479947,753.7805719921105,-1,-1,-1
68,3,-1.0,-1.0,-1,-1,-1
68,4,-1.0,-1.0,-1,-1,-1
68,5,436.7380014587892,679.4455142231948,-1,-1,-1
68,6,-1.0,-1.0,-1,-1,-1
69,1,292.49827188940094,638.5587557603686,-1,-1,-1
69,2,572.5352303523035,757.3149438637244,-1,-1,-1
69,3,-1.0,-1.0,-1,-1,-1
