frame,id,x,y,width,height,confidence
1,1,630.672,164.58700000000002,-1,-1,-1
1,2,753.6339999999999,429.87199999999996,-1,-1,-1
1,3,648.075,609.808,-1,-1,-1
1,7,606.685,608.355,-1,-1,-1
2,1,630.597,164.262,-1,-1,-1
2,2,761.8510000000001,424.14099999999996,-1,-1,-1
2,3,650.198,607.624,-1,-1,-1
2,7,606.51,607.62,-1,-1,-1
3,1,630.805,163.92700000000002,-1,-1,-1
3,2,772.199,418.05199999999996,-1,-1,-1
3,3,648.632,605.821,-1,-1,-1
3,7,607.112,606.962,-1,-1,-1
4,1,631.087,163.759,-1,-1,-1
4,2,779.217,413.534,-1,-1,-1
4,3,651.646,598.3530000000001,-1,-1,-1
4,7,607.3240000000001,606.76,-1,-1,-1
5,1,630.871,164.194,-1,-1,-1
5,2,781.466,412.41,-1,-1,-1
5,3,655.398,589.073,-1,-1,-1
5,7,607.7180000000001,605.178,-1,-1,-1
6,1,630.961,163.985,-1,-1,-1
6,2,786.0089999999999,408.923,-1,-1,-1
6,3,657.081,581.075,-1,-1,-1
6,7,607.414,604.7,-1,-1,-1
7,1,630.976,164.321,-1,-1,-1
7,2,792.918,400.551,-1,-1,-1
7,3,658.495,571.847,-1,-1,-1
7,7,606.868,604.633,-1,-1,-1
8,1,630.469,164.261,-1,-1,-1
8,2,797.6669999999999,391.139,-1,-1,-1
8,3,659.786,563.7,-1,-1,-1
8,7,604.939,604.844,-1,-1,-1
9,1,630.235,164.161,-1,-1,-1
9,2,802.289,386.42199999999997,-1,-1,-1
9,3,659.646,551.482,-1,-1,-1
9,7,605.073,604.475,-1,-1,-1
10,1,630.327,164.017,-1,-1,-1
10,2,803.679,378.385,-1,-1,-1
10,3,659.6619999999999,541.658,-1,-1,-1
10,7,606.698,603.502,-1,-1,-1
11,1,630.351,163.933,-1,-1,-1
11,2,805.074,364.39300000000003,-1,-1,-1
11,3,657.644,531.54,-1,-1,-1
11,7,607.996,602.77,-1,-1,-1
12,1,630.328,163.855,-1,-1,-1
12,2,805.7560000000001,351.85400000000004,-1,-1,-1
12,3,655.732,522.755,-1,-1,-1
12,7,609.168,602.964,-1,-1,-1
13,1,630.341,163.781,-1,-1,-1
13,2,806.816,343.44599999999997,-1,-1,-1
13,3,654.193,513.906,-1,-1,-1
13,4,561.889,630.664,-1,-1,-1
13,7,609.445,602.763,-1,-1,-1
14,1,630.437,163.746,-1,-1,-1
14,2,806.127,334.315,-1,-1,-1
14,3,651.766,507.725,-1,-1,-1
14,4,561.3330000000001,630.972,-1,-1,-1
14,7,610.212,602.01,-1,-1,-1
15,1,630.3919999999999,163.594,-1,-1,-1
15,2,803.909,322.283,-1,-1,-1
