epoch;loss;val_loss
0;21.274522532992894;15.016839116414388
1;8.660481987423367;22.549042366875543
2;7.571275023142497;9.202077348497179
3;7.219170834859212;7.294346357981364
4;6.884062148623996;12.808378037346733
5;6.31372532441881;9.693295775519477
6;6.597802256902059;11.759144354926216
7;6.423368375142416;10.532697991265191
8;5.630766734441122;11.409585295783149
9;5.923254084269206;10.679009373982748
10;5.534109791649713;9.508943756951226
11;5.496397845586141;8.839181713528104
12;5.346707298914591;7.183450722164578
13;5.417766784032186;12.360804829067654
14;4.753504720475939;6.554369212256537
15;4.955963863372803;6.3566081364949545
16;4.637748143725925;5.021186809539795
17;4.511820747587416;5.777810569339328
18;4.751947198232015;5.107686644660102
19;4.70776784324646;4.905987076229519
20;4.8459682193332245;10.68593739827474
21;4.851267341401842;5.854203645918105
22;4.694323487387763;5.571614513397217
23;4.576187851164076;4.621442750295003
24;4.369738831414117;4.295914327833388
25;4.169533422893948;4.822710869047377
26;4.1417597861819795;4.935394700368246
27;4.573251594543457;4.995845234129164
28;4.417053085327148;4.882517630259196
29;4.197542750464545;4.567592144012451
30;4.077257489734226;4.452033556832207
31;4.046126052008735;4.922452649010553
32;4.135310405095418;5.193350893656413
33;4.082693489922417;5.743080064985487
34;4.345785628000895;4.832853764428033
35;4.160664978663126;4.422500129275852
36;4.232091339959038;4.195909581714206
37;3.878111544503106;5.220414660771688
38;3.7901154530843097;4.412382169299655
39;4.104717522303264;4.608391908009847
40;4.168151979446411;4.437979079352485
41;3.89015100563897;4.139834172990587
42;3.764786156548394;4.510983462863498
43;3.851798707114326;3.87754702674018
44;3.7088036308288572;4.100059894985622
45;3.5149373285505505;3.806205643547906
46;3.556841692606608;3.974815544552273
47;3.359846739663018;4.125941274431017
48;4.053949522654215;5.420289484659831
49;3.8047771854400634;4.254304611417982
50;3.8048327515920004;6.081099450853136
51;3.644664072672526;3.940335922241211
52;3.571543046951294;3.7783059808943005
53;3.6218561668395997;3.9026712862650554
54;3.4164790388743085;4.058413064744737
55;3.4540003560384114;3.9100253370073106
56;3.9053390678829616;4.063124809265137
57;3.416081459575229;3.8952687369452583
58;3.4792691894107395;5.57081120385064
59;3.500724228117201;4.684327723185222
60;3.9642722244262694;4.244829061296251
61;3.728650051964654;4.373418136172824
62;3.993664002948337;4.176225147247314
63;4.09382420624627;4.4178513569302025
64;4.008880512449476;4.241874173482259
65;3.9105987606048584;4.33620910220676
66;4.0512093980577255;4.052851950327556
67;3.9903584088219537;4.476955530378554
68;3.918258149464925;4.221584072113037
69;3.641917142232259;4.472047318352593
70;3.689574743270874;3.824940825568305
71;3.535014270570543;4.038752621544732
72;3.6950559046003555;4.367708583407932
73;3.860398611916436;4.198183572557237
74;3.965022335264418;4.0442867215474445
75;3.741594176610311;4.108134721120199
76;4.058156086179945;4.2650384521484375
77;3.912071042590671;4.089468117819892
78;3.9397316890292697;4.061386934916178
79;3.777277787102593;3.971153679953681
80;3.624526782565647;3.8131968222724066
81;3.5851173786587185;4.263131359948052
82;3.852473419825236;4.2648907629648845
83;3.7447167703840467;4.006881720225016
84;3.536728749593099;3.923227693769667
85;3.340394159740872;3.8709775903489856
86;3.3797954767015246;3.989652405844794
87;3.536796967400445;4.592692607243856
88;3.4683930066426596;3.53021119011773
89;3.365675981309679;3.808451370663113
90;3.439573889626397;4.084902130762736
91;3.2892734382417466;3.483655976189507
92;3.256287980185615;3.7604546462164983
93;3.3102292629877725;3.9045398394266764
94;3.1835010789235434;3.5256389194064672
95;3.042701835102505;3.5633486779530843
96;3.1155164165496827;3.5728714264763726
97;3.0214147457546656;3.8552981450822617
98;3.22282159169515;4.00511905670166
99;3.678093883090549;4.591249619589911
