X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	X6	Y6	ProbId6	X7	Y7	ProbId7	X8	Y8	ProbId8	X9	Y9	ProbId9	X10	Y10	ProbId10	
559.42	641.83	NaN	484.27	133.61	NaN	607.33	384.79	NaN	632.36	164.1	NaN	851.84	499.75	NaN	389.15	433.5	NaN	448.57	118.99	NaN	783.85	270.14	NaN	539.74	309.94	NaN	612.84	597.65	NaN
559.76	641.5	NaN	484.66	128.43	NaN	600.23	379.11	NaN	632.02	163.43	NaN	852.46	493.67	NaN	386.91	432.47	NaN	448.77	118.71	NaN	784.35	270.13	NaN	535.2	309.98	NaN	613.54	596.79	NaN
559.06	642.21	NaN	485.1	125.97	NaN	596.44	376.3	NaN	631.75	162.57	NaN	855.07	487.6	NaN	385.54	431.84	NaN	449.15	118.58	NaN	784.87	269.35	NaN	531	306.88	NaN	615.3	594.56	NaN
559.91	641.57	NaN	485.1	124.39	NaN	592.44	371.75	NaN	631.91	163.37	NaN	858.25	484.03	NaN	382.84	428.2	NaN	449.26	118.5	NaN	784.98	269.81	NaN	528.92	305.96	NaN	615.14	594.82	NaN
559.9	641.7	NaN	485.46	122.38	NaN	584.32	364.59	NaN	631.5	162.94	NaN	861.88	478.52	NaN	380.85	426.32	NaN	449	118.57	NaN	785.47	271.91	NaN	528.02	306.27	NaN	615.44	594.15	NaN
559.85	641.7	NaN	485.64	122.09	NaN	579.34	360.3	NaN	632.33	164.03	NaN	863.75	473.36	NaN	380.77	427	NaN	449.09	118.64	NaN	786.3	272.8	NaN	525.89	305.83	NaN	614.18	595.58	NaN
560.19	641.12	NaN	485.23	121.78	NaN	577.75	357.6	NaN	632.43	163.72	NaN	862.62	470.98	NaN	380.67	426.23	NaN	448.91	118.57	NaN	784.71	272.07	NaN	522.57	303.04	NaN	616.15	593.25	NaN
559.57	641.08	NaN	485.58	120.62	NaN	577.01	352.99	NaN	632.21	163.35	NaN	861.28	469.92	NaN	380.29	425.75	NaN	448.13	118.54	NaN	783.3	269.35	NaN	523.49	303.87	NaN	614.36	594.89	NaN
559.43	640.25	NaN	486.56	120.06	NaN	577.09	349.99	NaN	632.76	164.27	NaN	860.16	467.02	NaN	380.77	426.31	NaN	449.16	118.53	NaN	782.14	268.45	NaN	522.9	302.85	NaN	615.48	593.9	NaN
558.83	640.38	NaN	487.47	119.97	NaN	577.71	347.17	NaN	632.44	163.87	NaN	861.45	460.06	NaN	380.35	425.99	NaN	449.1	118.43	NaN	780.79	266.11	NaN	520.35	301.49	NaN	614.82	594.64	NaN
559.48	639.32	NaN	488.45	120.03	NaN	579.01	347.12	NaN	632.48	163.76	NaN	860.5	455.92	NaN	382.46	426.96	NaN	449.2	118.37	NaN	780.6	265.11	NaN	520.67	300.43	NaN	614.85	594.76	NaN
559.1	639.43	NaN	490.17	119.53	NaN	580.33	346.75	NaN	632.56	163.97	NaN	859.39	452.06	NaN	381.17	424.8	NaN	448.14	118.73	NaN	779.43	262.76	NaN	516.5	296.6	NaN	615.36	594.34	NaN
559.1	639.06	NaN	491.84	120.04	NaN	580.04	346.64	NaN	632.36	163.3	NaN	860.63	448.09	NaN	381.33	424.84	NaN	447.89	118.53	NaN	778.23	261	NaN	510.37	292.37	NaN	615.09	594.97	NaN
558.05	639.33	NaN	494.27	120.79	NaN	581.23	347.08	NaN	632.08	162.68	NaN	858.78	448.52	NaN	381.55	423.58	NaN	449.84	118.22	NaN	775.28	255.91	NaN	505.83	287.39	NaN	615.79	594.61	NaN
557.74	639.24	NaN	495.54	122.44	NaN	583.43	347.85	NaN	631.91	162.32	NaN	857.82	435.1	NaN	382.56	424.1	NaN	449.74	117.8	NaN	768.53	247.43	NaN	500.22	285.05	NaN	615.72	594.9	NaN
556.58	640.43	NaN	499.24	123.42	NaN	585.61	346.87	NaN	631.81	162.17	NaN	854.54	429	NaN	383.77	423.47	NaN	450.18	117.54	NaN	762.93	237.15	NaN	490.51	280.19	NaN	616.63	594.19	NaN
556.05	641.34	NaN	501.97	125.8	NaN	588.82	344.71	NaN	631.91	162.71	NaN	853.78	423.81	NaN	384.61	423.06	NaN	448.29	117.76	NaN	759.25	231.05	NaN	484.58	272.61	NaN	616.76	594.32	NaN
555.33	642.11	NaN	504.13	128.45	NaN	588.93	338.62	NaN	632	163.58	NaN	851.94	417.75	NaN	384.31	420.9	NaN	447.98	117.79	NaN	754.34	225.03	NaN	476.45	267.73	NaN	617.24	593.88	NaN
554.95	641.69	NaN	505.73	132.48	NaN	590.24	335.33	NaN	631.82	163.01	NaN	853.3	410.28	NaN	385.59	419.08	NaN	448.38	118.03	NaN	745.69	215.62	NaN	474.38	259.49	NaN	616.04	594.89	NaN
554.47	641.57	NaN	507.75	135.18	NaN	595.18	331.65	NaN	631.65	161.86	NaN	854.49	403.51	NaN	386.14	418.14	NaN	446.72	118	NaN	737.98	208.74	NaN	469.23	255.15	NaN	616.71	594.23	NaN
554.82	640.46	NaN	514.45	137.24	NaN	599.43	325.25	NaN	631.57	162.05	NaN	854.81	395.93	NaN	386.47	416.52	NaN	446.73	117.98	NaN	731.99	201.01	NaN	464.66	248.75	NaN	616.56	594.31	NaN
554.87	640.05	NaN	521.95	140.29	NaN	605.66	319.3	NaN	631.75	162.74	NaN	856.31	388.37	NaN	388.08	417.06	NaN	446.25	117.98	NaN	724.88	193.12	NaN	457.67	240.37	NaN	618.02	593.3	NaN
554.53	639.68	NaN	525.62	143.47	NaN	609.12	314.19	NaN	631.65	162.86	NaN	859.16	380.2	NaN	390.52	415.76	NaN	446.02	118.15	NaN	718.81	189.25	NaN	448.78	230	NaN	616.41	594.67	NaN
554.2	639.06	NaN	534.07	149.43	NaN	616.07	310.52	NaN	631.48	164.48	NaN	859.86	376.66	NaN	392.1	416.65	NaN	446.13	118.16	NaN	717.63	189.2	NaN	444.27	221.27	NaN	616.96	594.24	NaN
553.78	639.86	NaN	543.8	154.67	NaN	623.31	307.32	NaN	631.43	164.68	NaN	861.04	373.23	NaN	393.71	416.52	NaN	446.49	118.38	NaN	716.86	188.89	NaN	440.16	209.7	NaN	617.01	594.19	NaN
553.52	638.75	NaN	547.77	156.66	NaN	628.48	306.8	NaN	631.62	165.51	NaN	861.16	372.17	NaN	393.71	413.9	NaN	446.87	118.33	NaN	715.95	187.93	NaN	438.26	199.02	NaN	617.26	594.08	NaN
553.12	639.72	NaN	551.83	160.33	NaN	632.45	307.88	NaN	631.95	166.08	NaN	861.39	371.94	NaN	392.89	412.97	NaN	445.57	118.52	NaN	711.33	184.12	NaN	437.62	189.6	NaN	617.6	593.78	NaN
553.19	639.85	NaN	554.34	163.6	NaN	636.24	308.73	NaN	631.32	164.53	NaN	862.37	370.05	NaN	391.44	411.03	NaN	445.8	118.73	NaN	705.09	178.4	NaN	437.96	178.92	NaN	617.59	593.79	NaN
553.13	639.38	NaN	556.95	164.73	NaN	642.34	307.7	NaN	631.37	165.04	NaN	864.33	368.18	NaN	389.86	409.27	NaN	445.85	118.81	NaN	699.48	173.3	NaN	438.18	178.74	NaN	617.22	593.9	NaN
553.24	640.27	NaN	558.23	167.16	NaN	645.9	305.87	NaN	630.79	164.56	NaN	865.55	367.72	NaN	387.75	406.84	NaN	446.4	118.68	NaN	695.03	169.62	NaN	438.02	178.6	NaN	617.27	593.76	NaN
553.31	640.52	NaN	559.21	172.33	NaN	650.62	302.56	NaN	631.45	165.03	NaN	865.63	367.25	NaN	386.64	406.36	NaN	446.98	118.41	NaN	693.91	167.17	NaN	437.74	177.54	NaN	617.46	593.59	NaN
553.44	640.16	NaN	560.42	176.16	NaN	651.54	301.1	NaN	631.55	165.11	NaN	864.68	366.92	NaN	385.74	406.04	NaN	446.95	118.15	NaN	691.95	166.15	NaN	438	176.02	NaN	618.09	592.87	NaN
553.49	639.68	NaN	564.35	179.83	NaN	649.99	300.04	NaN	631.37	164.21	NaN	863.82	366.04	NaN	385.11	405.61	NaN	446.93	118.32	NaN	688.45	163.24	NaN	438.11	176.15	NaN	617.52	593.18	NaN
553.18	639.99	NaN	568.05	181.58	NaN	649.61	298.64	NaN	631.8	164.46	NaN	863.73	364.92	NaN	385.04	405.81	NaN	448.02	118.28	NaN	683.51	159.38	NaN	438.14	175.5	NaN	617.78	592.88	NaN
553.24	639.33	NaN	571.07	184.82	NaN	647.6	298.66	NaN	NaN	NaN	NaN	863.43	365.7	NaN	383.03	402.36	NaN	447.82	118.25	NaN	NaN	NaN	NaN	438.17	175.24	NaN	617.39	592.95	NaN
553.62	640.02	NaN	574.61	190.9	NaN	645.31	297.65	NaN	631.66	165.63	NaN	862.72	363.67	NaN	381.09	399.59	NaN	447.57	118.22	NaN	680.25	156.96	NaN	438.16	175.22	NaN	616.65	593.44	NaN
