frame,id,x,y,width,height,confidence
31,3,287.0561151079137,295.8431654676259,-1,-1,-1
31,4,431.8991569390402,300.91309987029825,-1,-1,-1
31,5,-1.0,-1.0,-1,-1,-1
32,1,144.37512007684919,394.3467819404418,-1,-1,-1
32,2,-1.0,-1.0,-1,-1,-1
32,3,287.16011644832605,295.8762736535662,-1,-1,-1
32,4,431.8933847141939,301.75016056518945,-1,-1,-1
32,5,-1.0,-1.0,-1,-1,-1
33,1,144.27521613832852,394.21133525456287,-1,-1,-1
33,2,-1.0,-1.0,-1,-1,-1
33,3,287.4686131386861,295.963503649635,-1,-1,-1
33,4,431.9024943310657,302.0528020732102,-1,-1,-1
33,5,-1.0,-1.0,-1,-1,-1
34,1,144.2536023054755,394.20701248799224,-1,-1,-1
34,2,-1.0,-1.0,-1,-1,-1
34,3,287.78052325581393,295.83091085271315,-1,-1,-1
34,4,431.9546769527483,302.3162970106075,-1,-1,-1
34,5,-1.0,-1.0,-1,-1,-1
35,1,143.9698296836983,394.31776155717756,-1,-1,-1
35,2,-1.0,-1.0,-1,-1,-1
35,3,288.11432706222865,295.7390255668114,-1,-1,-1
35,4,432.0259575815131,302.84773662551436,-1,-1,-1
35,5,-1.0,-1.0,-1,-1,-1
36,1,143.8432799611839,394.3333333333333,-1,-1,-1
36,2,-1.0,-1.0,-1,-1,-1
36,3,288.2964015151515,295.6339962121212,-1,-1,-1
36,4,432.0171755725191,302.90076335877865,-1,-1,-1
36,5,-1.0,-1.0,-1,-1,-1
37,1,143.63953488372093,394.3376937984496,-1,-1,-1
37,2,-1.0,-1.0,-1,-1,-1
37,3,288.4897472579876,295.6165951359084,-1,-1,-1
37,4,432.0495365931607,303.1891978267817,-1,-1,-1
37,5,-1.0,-1.0,-1,-1,-1
38,1,143.47090729783037,394.3525641025641,-1,-1,-1
38,2,-1.0,-1.0,-1,-1,-1
38,3,288.815074906367,295.5571161048689,-1,-1,-1
38,4,432.03779069767444,303.20445736434107,-1,-1,-1
38,5,-1.0,-1.0,-1,-1,-1
39,1,143.36496350364965,394.31192214111917,-1,-1,-1
39,2,-1.0,-1.0,-1,-1,-1
39,3,289.08321579689704,295.63469675599436,-1,-1,-1
39,4,431.7480988593156,303.57097591888464,-1,-1,-1
39,5,-1.0,-1.0,-1,-1,-1
40,1,143.04795486600847,394.4536906440996,-1,-1,-1
40,2,-1.0,-1.0,-1,-1,-1
40,3,289.4673248707099,295.3159379407616,-1,-1,-1
40,4,431.59489169091495,303.79405108309084,-1,-1,-1
40,5,-1.0,-1.0,-1,-1,-1
41,1,142.7749766573296,394.41083099906626,-1,-1,-1
41,2,-1.0,-1.0,-1,-1,-1
41,3,289.7665706051873,295.3568683957733,-1,-1,-1
41,4,431.4535947712418,304.52091503267974,-1,-1,-1
41,5,-1.0,-1.0,-1,-1,-1
42,1,142.59700794763907,394.32304815334265,-1,-1,-1
42,2,-1.0,-1.0,-1,-1,-1
42,3,289.90033865505563,295.2530237058539,-1,-1,-1
