frame,id,x,y,width,height,confidence
1,2,155.596,395.75699999999995,-1,-1,-1
1,4,434.129,277.879,-1,-1,-1
1,5,276.93,293.074,-1,-1,-1
2,2,155.303,395.334,-1,-1,-1
2,4,434.001,278.759,-1,-1,-1
2,5,277.53,293.09799999999996,-1,-1,-1
3,2,155.374,395.13699999999994,-1,-1,-1
3,4,434.075,279.793,-1,-1,-1
3,5,277.752,293.21900000000005,-1,-1,-1
4,2,155.13799999999998,395.13599999999997,-1,-1,-1
4,4,434.13199999999995,280.53499999999997,-1,-1,-1
4,5,278.065,293.307,-1,-1,-1
5,2,155.035,394.93800000000005,-1,-1,-1
5,4,434.233,281.08299999999997,-1,-1,-1
5,5,278.309,293.274,-1,-1,-1
6,2,154.61700000000002,394.721,-1,-1,-1
6,4,434.142,281.53499999999997,-1,-1,-1
6,5,278.63,293.58000000000004,-1,-1,-1
7,2,154.348,394.71,-1,-1,-1
7,4,434.1,282.29499999999996,-1,-1,-1
7,5,279.08799999999997,293.543,-1,-1,-1
8,2,153.94299999999998,394.496,-1,-1,-1
8,4,434.18199999999996,283.45799999999997,-1,-1,-1
8,5,279.524,293.73,-1,-1,-1
9,2,153.839,394.298,-1,-1,-1
9,4,434.092,284.631,-1,-1,-1
9,5,279.90599999999995,293.842,-1,-1,-1
10,2,153.548,394.164,-1,-1,-1
10,4,433.88199999999995,285.47,-1,-1,-1
10,5,280.20500000000004,293.97400000000005,-1,-1,-1
11,2,153.382,394.13599999999997,-1,-1,-1
11,4,433.75800000000004,286.01,-1,-1,-1
11,5,280.502,294.082,-1,-1,-1
12,2,152.779,394.186,-1,-1,-1
12,4,433.51199999999994,287.003,-1,-1,-1
12,5,280.90099999999995,294.19,-1,-1,-1
13,2,152.714,394.285,-1,-1,-1
13,4,433.375,287.939,-1,-1,-1
13,5,281.759,294.398,-1,-1,-1
14,2,152.426,394.36300000000006,-1,-1,-1
14,4,433.401,288.944,-1,-1,-1
14,5,282.355,294.59400000000005,-1,-1,-1
15,2,151.8519,394.379,-1,-1,-1
15,4,433.408,290.148,-1,-1,-1
15,5,282.93,294.824,-1,-1,-1
16,2,151.2568,394.45300000000003,-1,-1,-1
16,4,433.407,290.998,-1,-1,-1
16,5,282.922,295.041,-1,-1,-1
17,2,150.588,394.671,-1,-1,-1
17,4,433.473,292.055,-1,-1,-1
17,5,283.337,295.191,-1,-1,-1
18,2,149.83440000000002,394.662,-1,-1,-1
18,4,433.53,292.981,-1,-1,-1
18,5,283.682,295.33000000000004,-1,-1,-1
19,2,149.3046,394.598,-1,-1,-1
19,4,433.499,293.507,-1,-1,-1
19,5,283.79499999999996,295.46799999999996,-1,-1,-1
20,2,148.8124,394.379,-1,-1,-1
20,4,433.233,293.99,-1,-1,-1
20,5,284.247,295.48199999999997,-1,-1,-1
21,2,148.3492,394.36,-1,-1,-1
21,4,432.921,294.43,-1,-1,-1
21,5,284.754,295.669,-1,-1,-1
22,2,147.8853,394.522,-1,-1,-1
22,4,432.82599999999996,295.27099999999996,-1,-1,-1
22,5,284.931,295.798,-1,-1,-1
23,2,147.7876,394.39300000000003,-1,-1,-1
23,4,432.764,296.02099999999996,-1,-1,-1
23,5,284.997,295.816,-1,-1,-1
24,2,146.87619999999998,394.41,-1,-1,-1
24,4,432.727,296.893,-1,-1,-1
24,5,285.246,295.751,-1,-1,-1
25,2,146.5395,394.2,-1,-1,-1
25,4,432.684,297.789,-1,-1,-1
25,5,285.693,295.752,-1,-1,-1
26,2,146.2256,394.022,-1,-1,-1
26,4,432.644,298.20799999999997,-1,-1,-1
26,5,285.642,295.741,-1,-1,-1
27,2,145.82330000000002,393.93199999999996,-1,-1,-1
27,4,432.534,298.434,-1,-1,-1
27,5,285.957,295.802,-1,-1,-1
28,2,145.361,393.69699999999995,-1,-1,-1
28,4,432.348,298.906,-1,-1,-1
28,5,286.371,295.77,-1,-1,-1
