X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	
140.49	393.07	NaN	293.48	296.08	NaN	431.45	310	NaN	172.65	426.9	NaN	182.45	405.34	NaN
140.32	393.2	NaN	293.49	296.13	NaN	431.31	310.29	NaN	172.44	426.86	NaN	182.42	405.33	NaN
140.19	393.16	NaN	293.74	296.07	NaN	431.13	310.64	NaN	172.42	426.98	NaN	182.43	405.35	NaN
140.14	393.1	NaN	293.81	296.07	NaN	430.73	311.27	NaN	172.5	426.81	NaN	182.59	405.36	NaN
139.68	393.09	NaN	293.92	296.07	NaN	430.51	311.9	NaN	171.97	426.67	NaN	182.56	405.4	NaN
139.35	392.96	NaN	293.92	296.11	NaN	430.53	311.96	NaN	171.97	426.67	NaN	182.74	405.34	NaN
138.79	392.71	NaN	293.85	296.13	NaN	430.53	311.96	NaN	171.12	426.26	NaN	182.91	405.3	NaN
137.96	392.47	NaN	293.98	296.08	NaN	430.52	312.08	NaN	171.36	426.47	NaN	182.25	405.35	NaN
137.45	392.15	NaN	294.24	296.07	NaN	430.55	311.97	NaN	170.91	426.34	NaN	182.34	405.38	NaN
136.87	391.89	NaN	294.41	296.07	NaN	430.53	311.96	NaN	NaN	NaN	NaN	NaN	NaN	NaN
136.54	391.71	NaN	294.46	296.12	NaN	430.51	312.51	NaN	NaN	NaN	NaN	NaN	NaN	NaN
136.13	391.63	NaN	294.59	296.1	NaN	430.43	312.89	NaN	170.16	426.45	NaN	183.08	405	NaN
136.18	391.38	NaN	294.58	296.07	NaN	430.43	313.72	NaN	169.63	426.13	NaN	183.62	405.14	NaN
136.19	391.18	NaN	294.54	296.08	NaN	430.38	314.45	NaN	169.66	426.15	NaN	183.95	404.91	NaN
136.32	391.02	NaN	294.56	296.18	NaN	430.35	315	NaN	169.56	425.93	NaN	183.92	404.94	NaN
136.15	390.87	NaN	294.4	296.19	NaN	430.46	315.34	NaN	169.18	425.85	NaN	184.13	404.82	NaN
135.61	390.64	NaN	294.52	296.22	NaN	430.43	315.18	NaN	169.96	426.13	NaN	184.28	404.73	NaN
135.38	390.35	NaN	294.51	296.45	NaN	430.36	315	NaN	169.69	425.96	NaN	184.35	404.76	NaN
134.6	389.92	NaN	294.41	296.47	NaN	430.42	314.86	NaN	169.57	425.96	NaN	184.37	404.62	NaN
134.41	389.54	NaN	294.41	296.59	NaN	430.45	314.73	NaN	169.39	425.9	NaN	184.52	404.57	NaN
133.88	389.12	NaN	294.61	296.72	NaN	430.52	314.54	NaN	167.77	425.16	NaN	184.27	404.75	NaN
133.68	388.77	NaN	294.67	296.7	NaN	430.49	314.32	NaN	167.28	424.88	NaN	184.29	404.69	NaN
132.71	388.61	NaN	294.64	296.75	NaN	430.52	314.06	NaN	166.93	424.76	NaN	184.15	404.79	NaN
131.92	388.42	NaN	294.56	296.86	NaN	430.51	313.94	NaN	166.86	424.57	NaN	183.59	404.83	NaN
131.72	388.45	NaN	294.72	296.89	NaN	430.52	313.58	NaN	166.67	424.6	NaN	183.93	404.75	NaN
131.11	388.15	NaN	294.88	297.03	NaN	430.62	313.59	NaN	166.51	424.6	NaN	184.04	404.77	NaN
