1,1,156.12,396.6,-1,-1,-1
1,2,278.46,294.33,-1,-1,-1
1,3,435.1,278.71,-1,-1,-1
1,4,-1,-1,-1,-1,-1
1,5,-1,-1,-1,-1,-1
2,1,156.2,396.24,-1,-1,-1
2,2,279.11,294.47,-1,-1,-1
2,3,435.17,279.82,-1,-1,-1
2,4,181.87,430.49,-1,-1,-1
2,5,181.77,405.58,-1,-1,-1
3,1,156.15,395.93,-1,-1,-1
3,2,279.5,294.42,-1,-1,-1
3,3,435.07,280.64,-1,-1,-1
3,4,181.74,430.47,-1,-1,-1
3,5,182.04,405.52,-1,-1,-1
4,1,155.99,395.84,-1,-1,-1
4,2,279.61,294.56,-1,-1,-1
4,3,435.18,281.34,-1,-1,-1
4,4,181.7,430.29,-1,-1,-1
4,5,182.04,405.52,-1,-1,-1
5,1,155.86,395.82,-1,-1,-1
5,2,280.0,294.69,-1,-1,-1
5,3,435.35,282.18,-1,-1,-1
5,4,181.37,430.17,-1,-1,-1
5,5,182.09,405.92,-1,-1,-1
6,1,155.49,395.62,-1,-1,-1
6,2,280.32,294.96,-1,-1,-1
6,3,435.27,282.45,-1,-1,-1
6,4,181.17,430.22,-1,-1,-1
6,5,182.11,405.72,-1,-1,-1
7,1,154.84,395.7,-1,-1,-1
7,2,280.73,294.81,-1,-1,-1
7,3,435.26,283.22,-1,-1,-1
7,4,180.59,430.07,-1,-1,-1
7,5,182.12,405.67,-1,-1,-1
8,1,154.93,395.26,-1,-1,-1
8,2,281.48,295.21,-1,-1,-1
8,3,435.33,284.49,-1,-1,-1
8,4,180.35,430.02,-1,-1,-1
8,5,182.07,405.8,-1,-1,-1
9,1,154.58,395.15,-1,-1,-1
9,2,281.81,295.3,-1,-1,-1
9,3,435.13,285.67,-1,-1,-1
9,4,180.04,429.82,-1,-1,-1
9,5,182.14,405.79,-1,-1,-1
10,1,154.05,395.05,-1,-1,-1
10,2,281.8,295.28,-1,-1,-1
10,3,435.03,286.48,-1,-1,-1
10,4,179.05,429.53,-1,-1,-1
10,5,181.82,405.78,-1,-1,-1
11,1,153.9,394.97,-1,-1,-1
11,2,282.1,295.36,-1,-1,-1
11,3,434.96,287.22,-1,-1,-1
11,4,178.75,429.55,-1,-1,-1
11,5,181.75,405.89,-1,-1,-1
12,1,153.48,395.09,-1,-1,-1
12,2,282.46,295.39,-1,-1,-1
12,3,434.77,287.92,-1,-1,-1
12,4,178.39,429.5,-1,-1,-1
12,5,181.75,405.9,-1,-1,-1
13,1,153.67,394.86,-1,-1,-1
13,2,283.18,295.65,-1,-1,-1
13,3,434.54,289.0,-1,-1,-1
13,4,177.85,429.2,-1,-1,-1
13,5,181.87,405.64,-1,-1,-1
14,1,153.38,394.83,-1,-1,-1
14,2,283.85,295.92,-1,-1,-1
14,3,434.45,289.87,-1,-1,-1
14,4,176.93,428.74,-1,-1,-1
14,5,181.93,405.54,-1,-1,-1
15,1,152.39,394.99,-1,-1,-1
15,2,284.22,296.07,-1,-1,-1
15,3,434.5,291.36,-1,-1,-1
15,4,177.22,428.63,-1,-1,-1
15,5,182.3,405.46,-1,-1,-1
16,1,151.86,395.0,-1,-1,-1
16,2,284.79,296.31,-1,-1,-1
16,3,434.51,292.05,-1,-1,-1
16,4,177.28,428.56,-1,-1,-1
16,5,182.39,405.42,-1,-1,-1
17,1,151.23,395.3,-1,-1,-1
17,2,285.28,296.52,-1,-1,-1
17,3,434.58,293.03,-1,-1,-1
17,4,177.09,428.15,-1,-1,-1
17,5,183.08,404.94,-1,-1,-1
18,1,150.89,395.07,-1,-1,-1
18,2,285.37,296.51,-1,-1,-1
18,3,434.61,293.81,-1,-1,-1
18,4,176.54,428.25,-1,-1,-1
18,5,183.12,404.87,-1,-1,-1
19,1,150.6,395.07,-1,-1,-1
19,2,285.8,296.56,-1,-1,-1
19,3,434.37,294.22,-1,-1,-1
19,4,176.77,428.5,-1,-1,-1
19,5,183.02,404.8,-1,-1,-1
20,1,149.7,395.12,-1,-1,-1
20,2,286.18,296.7,-1,-1,-1
20,3,434.27,294.88,-1,-1,-1
20,4,176.74,428.52,-1,-1,-1
20,5,183.46,404.51,-1,-1,-1
21,1,149.58,394.92,-1,-1,-1
21,2,286.56,296.76,-1,-1,-1
21,3,434.16,295.31,-1,-1,-1
21,4,176.87,428.66,-1,-1,-1
21,5,183.42,404.52,-1,-1,-1
22,1,148.79,395.15,-1,-1,-1
22,2,286.8,296.86,-1,-1,-1
22,3,434.11,295.97,-1,-1,-1
22,4,177.01,428.7,-1,-1,-1
22,5,183.78,404.46,-1,-1,-1
23,1,148.63,395.05,-1,-1,-1
23,2,287.13,297.03,-1,-1,-1
23,3,433.9,296.81,-1,-1,-1
23,4,176.99,428.54,-1,-1,-1
23,5,183.09,404.51,-1,-1,-1
24,1,147.98,395.0,-1,-1,-1
24,2,287.39,296.61,-1,-1,-1
24,3,433.86,297.74,-1,-1,-1
24,4,176.62,428.38,-1,-1,-1
24,5,183.07,404.62,-1,-1,-1
25,1,147.14,394.76,-1,-1,-1
25,2,287.85,296.8,-1,-1,-1
25,3,433.82,298.62,-1,-1,-1
25,4,176.57,428.39,-1,-1,-1
25,5,183.16,404.49,-1,-1,-1
26,1,146.77,394.49,-1,-1,-1
26,2,287.55,296.72,-1,-1,-1
26,3,433.67,299.28,-1,-1,-1
