X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	
251.42	944.96	0.99957	685.5	746.52	1	727.74	362.52	1	1473.8	484.57	1	253.15	143.04	1
248.3	941.75	0.99957	690.34	755.3	1	719.59	364.04	1	1464.4	493.28	1	241.38	151.11	1
242.04	931.34	0.99957	694.25	763.71	1	709.22	359.3	1	1454.9	502.05	1	236.79	158.73	1
241.54	925.64	0.99957	697.52	771.17	1	700.03	352.14	1	1446.4	509.98	1	235.55	168.72	1
241.07	920.6	0.99957	700.52	778.29	1	692.5	344.66	1	1438.4	517.37	1	235.09	176.57	1
242.51	913.33	0.99957	703.41	785.95	1	684.47	336.12	1	1428.1	524.64	1	234.45	185.06	1
248.64	899.3	0.99957	705.16	791.05	1	677.68	328.57	1	1416.8	521.76	1	233.86	194.2	1
255.82	883.8	0.99957	707.05	796.5	1	672.1	321.91	1	1403.2	507.95	1	233.46	199.32	1
262.04	870.17	0.99957	708.81	802.08	1	667.9	316.94	1	1397.3	497.27	1	232.71	204.5	1
269.17	855.54	0.99957	709.62	807.71	1	664.38	307.82	1	1393	489.08	1	232.38	207.37	1
274.61	843.84	0.99957	707.64	816.3	1	666.29	295.61	1	1388.6	481.86	1	232.68	209.53	1
279.84	832.31	0.99957	704.54	825.98	1	671.54	282.71	1	1384.2	475.25	1	232.69	212.43	1
285.21	819.06	0.99957	701.14	838.03	1	676.89	269.91	1	1380.3	469.28	1	233.23	213.91	1
289.83	807.12	0.99957	698.11	847.34	1	681.82	258.23	1	1376.9	463.99	1	233.87	214.94	1
294.32	795.68	0.99957	695.08	855.69	1	685.63	249.07	1	1370.8	458.66	1	233.63	222.27	1
298.03	785.84	0.99957	691.86	863.64	1	690.21	240.91	1	1360.1	453.29	1	235.44	237.06	1
299.52	774.03	0.99957	688.64	871.28	1	697.53	233.16	1	1349.5	448.71	1	239.17	246.35	1
300.41	755.22	0.99957	686.55	875.29	1	704.63	227.43	1	1340.9	445.17	1	241.68	253.7	1
301.63	738.4	0.99957	682.14	879.48	1	712.02	221.92	1	1332.7	441.88	1	243.64	260.37	1
302.6	724.45	0.99957	666.56	879.01	1	720.09	216.18	1	1325.3	438.64	1	245.51	267.45	1
